,artist_name,album_name,song_name,popularity,track_id,track_explicit
68,Bobby Lewis,Tossin' and Turnin',Tossin' and Turnin',36,0ZfkRyUUYS9Hvl6N5PXPot,False
69,Bobby Lewis,Tossin' and Turnin',Tossin' and Turnin' - Stereo Version,9,7HDQqox0O0fTE7elQu4XxS,False
70,Joe Dowell,The Best Of Joe Dowell,Wooden Heart,22,2ELAMT68a78OGwhCgj9Kai,False
71,Ray Charles,Soul,Hit the Road Jack,60,2HoqbEOXgbDSLZ5XCePEXt,False
72,Ray Charles,True Genius,Hit the Road Jack,53,5dUMh0ugelpKfoFp3qChuK,False
73,Dion,Runaround Sue,Runaround Sue,62,1DndHckdH9m5rp6gYP086b,False
74,Dion & The Belmonts,The Best Of Dion & The Belmonts,Runaround Sue - Remastered 1991,48,6AL6Wbn1xA3R86vAvuiho5,False
75,Dion,The Best Of Dion,Runaround Sue - Remastered 1991,53,3u6v1F9EQqYFaCAou7ipzN,False
76,Dion,The Complete Laurie Singles,Runaround Sue,49,56ovq6wDC51IgEmkBdugSJ,False
77,Jimmy Dean,The Best Of Jimmy Dean,Big Bad John,53,61uAY9xdzYiIbYJ07XvKso,False
78,Jimmy Dean,Big Bad John and Other Fabulous Songs and Tales,Big Bad John,48,4cRJvAh0BwNng8nO5Vnf5F,False
79,Jimmy Dean,The Jimmy Dean Collection,Big Bad John,30,6AzGMTpVd6BCLxQkNktHpJ,False
80,Jimmy Dean,Jimmy Dean'S Greatest Hits,Big Bad John,11,1VxwgiIBK2R7cCGVPstOdm,False
81,The Marvelettes,Please Mr. Postman,Please Mr. Postman,65,6jX5mso4x00c1EiNMrTU9U,False
82,The Marvelettes,"Forever: The Complete Motown Albums, Volume 1",Please Mr. Postman - Stereo Version,51,5fNDP3NTdE69szQHUl4fFr,False
83,The Marvelettes,"Forever: The Complete Motown Albums, Volume 1",Please Mr. Postman - Single Version / Mono,14,6KYr4iVoaznVpQ1hZdMzjU,False
84,The Marvelettes,The Definitive Collection,Please Mr. Postman - Single Version / Mono,14,4A124XvQG7wrhbOLB0kkqL,False
85,The Tokens,Wimoweh!!! - The Best Of The Tokens,The Lion Sleeps Tonight (Wimoweh),61,2F4FNcz68howQWD4zaGJSi,False
86,The Tokens,Both Sides Now,The Lion Sleeps Tonight,52,5X6VbizePQKSnt55YWWyGS,False
87,The Tokens,The Lion Sleeps Tonight,The Lion Sleeps Tonight (Wimoweh),50,2QbSGkb3TgghEHpjKCsznm,False
88,The Tokens,All Time Greatest Hits,The Lion Sleeps Tonight,32,1PuBQjeSP1DMbiLZhMNADs,False
89,Gene Chandler,The Duke Of Earl,Duke of Earl,53,6Hy22YDN9HJMRlJP1LwnJy,False
90,Gene Chandler,The Duke of Soul (Remastered),Duke of Earl - Remastered,25,39J1xfhjVTnvk8DGKblMeG,False
