,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
641,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),Various Artists,48,0MEaPVD5sOZ17HhhjBZs3Z,False,0.722,0.541,1,-14.951,0,0.0282,0.0241,0.000785,0.0941,0.917,109.152,audio_features,0MEaPVD5sOZ17HhhjBZs3Z,spotify:track:0MEaPVD5sOZ17HhhjBZs3Z,https://api.spotify.com/v1/tracks/0MEaPVD5sOZ17HhhjBZs3Z,https://api.spotify.com/v1/audio-analysis/0MEaPVD5sOZ17HhhjBZs3Z,211640,4
642,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),Various Artists,50,2xSXw1EqGSAKc1e4TPaQvV,False,0.699,0.607,10,-15.293,0,0.0353,0.103,0.000629,0.236,0.958,103.612,audio_features,2xSXw1EqGSAKc1e4TPaQvV,spotify:track:2xSXw1EqGSAKc1e4TPaQvV,https://api.spotify.com/v1/tracks/2xSXw1EqGSAKc1e4TPaQvV,https://api.spotify.com/v1/audio-analysis/2xSXw1EqGSAKc1e4TPaQvV,284067,4
643,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Timeless - The All-Time Greatest Hits,Bee Gees,49,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4
644,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Tales From The Brothers Gibb,Bee Gees,52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4
645,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),Various Artists,51,0qp2BkreL7bxaFdc25VihQ,False,0.613,0.23,5,-15.892,0,0.0279,0.356,0.0,0.131,0.672,104.974,audio_features,0qp2BkreL7bxaFdc25VihQ,spotify:track:0qp2BkreL7bxaFdc25VihQ,https://api.spotify.com/v1/tracks/0qp2BkreL7bxaFdc25VihQ,https://api.spotify.com/v1/audio-analysis/0qp2BkreL7bxaFdc25VihQ,243933,4
646,With A Little Luck - Remastered 1993,London Town (Expanded Edition),Wings,46,0wLpW3AwfNicWHef8joJLb,False,0.652,0.372,6,-15.445,0,0.0321,0.0682,0.000199,0.0923,0.28,111.986,audio_features,0wLpW3AwfNicWHef8joJLb,spotify:track:0wLpW3AwfNicWHef8joJLb,https://api.spotify.com/v1/tracks/0wLpW3AwfNicWHef8joJLb,https://api.spotify.com/v1/audio-analysis/0wLpW3AwfNicWHef8joJLb,344773,4
647,With A Little Luck,Wings Greatest,Wings,34,4e7HJXoesmfRboLc3pYGTS,False,0.632,0.427,6,-12.508,0,0.0293,0.231,0.00115,0.111,0.237,111.679,audio_features,4e7HJXoesmfRboLc3pYGTS,spotify:track:4e7HJXoesmfRboLc3pYGTS,https://api.spotify.com/v1/tracks/4e7HJXoesmfRboLc3pYGTS,https://api.spotify.com/v1/audio-analysis/4e7HJXoesmfRboLc3pYGTS,347253,4
648,With A Little Luck - DJ Edit,Wingspan,Paul McCartney,25,68YRrcXmgetANX5teKhEHD,False,0.628,0.443,6,-10.607,0,0.0317,0.104,0.0,0.119,0.344,111.886,audio_features,68YRrcXmgetANX5teKhEHD,spotify:track:68YRrcXmgetANX5teKhEHD,https://api.spotify.com/v1/tracks/68YRrcXmgetANX5teKhEHD,https://api.spotify.com/v1/audio-analysis/68YRrcXmgetANX5teKhEHD,193133,4
649,With A Little Luck - DJ Edit,All The Best,Paul McCartney,26,6zfsuf1WpV0PJq8LF1rioS,False,0.606,0.402,4,-14.193,1,0.0317,0.204,0.0,0.119,0.357,111.907,audio_features,6zfsuf1WpV0PJq8LF1rioS,spotify:track:6zfsuf1WpV0PJq8LF1rioS,https://api.spotify.com/v1/tracks/6zfsuf1WpV0PJq8LF1rioS,https://api.spotify.com/v1/audio-analysis/6zfsuf1WpV0PJq8LF1rioS,192173,4
650,With A Little Luck - DJ Edit / Remastered 2016,Pure McCartney,Paul McCartney,19,1CPTAkaqBwFfe7xUjScKIr,False,0.611,0.495,4,-10.13,1,0.0295,0.284,6.04e-06,0.109,0.319,111.754,audio_features,1CPTAkaqBwFfe7xUjScKIr,spotify:track:1CPTAkaqBwFfe7xUjScKIr,https://api.spotify.com/v1/tracks/1CPTAkaqBwFfe7xUjScKIr,https://api.spotify.com/v1/audio-analysis/1CPTAkaqBwFfe7xUjScKIr,193320,4
651,With A Little Luck - DJ Edit / Remastered 2016,Pure McCartney (Deluxe Edition),Paul McCartney,15,1dis8VQDC7wcfyw2EfKdXa,False,0.616,0.518,6,-10.139,0,0.0313,0.283,2.18e-06,0.111,0.292,111.744,audio_features,1dis8VQDC7wcfyw2EfKdXa,spotify:track:1dis8VQDC7wcfyw2EfKdXa,https://api.spotify.com/v1/tracks/1dis8VQDC7wcfyw2EfKdXa,https://api.spotify.com/v1/audio-analysis/1dis8VQDC7wcfyw2EfKdXa,193320,4
652,Miss You - Remastered,Some Girls,The Rolling Stones,69,3hJLKtTpgct9Y9wKww0BiR,False,0.795,0.71,9,-4.746,0,0.0392,0.443,0.0215,0.344,0.845,109.689,audio_features,3hJLKtTpgct9Y9wKww0BiR,spotify:track:3hJLKtTpgct9Y9wKww0BiR,https://api.spotify.com/v1/tracks/3hJLKtTpgct9Y9wKww0BiR,https://api.spotify.com/v1/audio-analysis/3hJLKtTpgct9Y9wKww0BiR,288667,4
653,Three Times A Lady,All The Great Love Songs,Commodores,55,4ztwMHfPZhPoruZdBbgriM,False,0.39,0.0803,8,-20.518,1,0.0306,0.874,0.000639,0.127,0.184,150.503,audio_features,4ztwMHfPZhPoruZdBbgriM,spotify:track:4ztwMHfPZhPoruZdBbgriM,https://api.spotify.com/v1/tracks/4ztwMHfPZhPoruZdBbgriM,https://api.spotify.com/v1/audio-analysis/4ztwMHfPZhPoruZdBbgriM,217427,3
654,Three Times A Lady,Natural High,Commodores,58,2uTGX4wxnRGS3i0FSOMGCQ,False,0.487,0.094,8,-19.555,1,0.0274,0.834,0.000224,0.172,0.0788,74.857,audio_features,2uTGX4wxnRGS3i0FSOMGCQ,spotify:track:2uTGX4wxnRGS3i0FSOMGCQ,https://api.spotify.com/v1/tracks/2uTGX4wxnRGS3i0FSOMGCQ,https://api.spotify.com/v1/audio-analysis/2uTGX4wxnRGS3i0FSOMGCQ,398507,3
655,Three Times A Lady - Single Version,The Definitive Collection,Lionel Richie,38,0cph7xBVHgkA7QjTrTwPFx,False,0.486,0.188,8,-14.482,1,0.0268,0.887,0.00142,0.191,0.184,75.084,audio_features,0cph7xBVHgkA7QjTrTwPFx,spotify:track:0cph7xBVHgkA7QjTrTwPFx,https://api.spotify.com/v1/tracks/0cph7xBVHgkA7QjTrTwPFx,https://api.spotify.com/v1/audio-analysis/0cph7xBVHgkA7QjTrTwPFx,219773,3
656,Three Times A Lady,The Commodores: The Definitive Collection,Commodores,31,6f7obLqToFmQ0pGwZPx526,False,0.486,0.227,8,-11.818,1,0.0258,0.832,0.000365,0.193,0.0929,74.454,audio_features,6f7obLqToFmQ0pGwZPx526,spotify:track:6f7obLqToFmQ0pGwZPx526,https://api.spotify.com/v1/tracks/6f7obLqToFmQ0pGwZPx526,https://api.spotify.com/v1/audio-analysis/6f7obLqToFmQ0pGwZPx526,398773,3
657,Three Times A Lady,Gold,Commodores,25,6RsMP5kKLIqxyPNVuOXwxk,False,0.461,0.186,8,-14.791,1,0.026,0.853,0.00122,0.171,0.0919,74.913,audio_features,6RsMP5kKLIqxyPNVuOXwxk,spotify:track:6RsMP5kKLIqxyPNVuOXwxk,https://api.spotify.com/v1/tracks/6RsMP5kKLIqxyPNVuOXwxk,https://api.spotify.com/v1/audio-analysis/6RsMP5kKLIqxyPNVuOXwxk,399227,3
658,Three Times A Lady - Single Version,Truly: The Love Songs,Lionel Richie,18,43ycD73YMpprO1d8nTognm,False,0.498,0.173,8,-14.079,1,0.0277,0.898,0.000812,0.154,0.16,75.349,audio_features,43ycD73YMpprO1d8nTognm,spotify:track:43ycD73YMpprO1d8nTognm,https://api.spotify.com/v1/tracks/43ycD73YMpprO1d8nTognm,https://api.spotify.com/v1/audio-analysis/43ycD73YMpprO1d8nTognm,216773,3
659,Boogie Oogie Oogie - Remastered 2004,A Taste Of Honey,A Taste Of Honey,53,07NrCEN3egNvw8td2LxqJO,False,0.791,0.569,2,-10.372,0,0.0553,0.133,0.00035,0.139,0.889,123.977,audio_features,07NrCEN3egNvw8td2LxqJO,spotify:track:07NrCEN3egNvw8td2LxqJO,https://api.spotify.com/v1/tracks/07NrCEN3egNvw8td2LxqJO,https://api.spotify.com/v1/audio-analysis/07NrCEN3egNvw8td2LxqJO,338320,4
660,Boogie Oogie Oogie - Single Version 2 / Remastered 1999,A Taste Of Honey,A Taste Of Honey,49,0y0QpmcF1G3F79rjk3fjUx,False,0.835,0.522,2,-10.828,0,0.0916,0.0991,0.00184,0.111,0.91,123.934,audio_features,0y0QpmcF1G3F79rjk3fjUx,spotify:track:0y0QpmcF1G3F79rjk3fjUx,https://api.spotify.com/v1/tracks/0y0QpmcF1G3F79rjk3fjUx,https://api.spotify.com/v1/audio-analysis/0y0QpmcF1G3F79rjk3fjUx,338133,4
661,Boogie Oogie Oogie - Remastered,Classic Masters,A Taste Of Honey,44,0wXMWFDlekl3mfAJGcixlq,False,0.81,0.649,2,-7.072,0,0.0535,0.245,0.000286,0.0965,0.952,123.757,audio_features,0wXMWFDlekl3mfAJGcixlq,spotify:track:0wXMWFDlekl3mfAJGcixlq,https://api.spotify.com/v1/tracks/0wXMWFDlekl3mfAJGcixlq,https://api.spotify.com/v1/audio-analysis/0wXMWFDlekl3mfAJGcixlq,223827,4
662,Boogie Oogie Oogie - Remastered,70's Hits,Various Artists,28,6XCZRVdMwkyadxXbOtfVMc,False,0.816,0.452,2,-13.44,0,0.0622,0.199,0.0019,0.124,0.932,123.594,audio_features,6XCZRVdMwkyadxXbOtfVMc,spotify:track:6XCZRVdMwkyadxXbOtfVMc,https://api.spotify.com/v1/tracks/6XCZRVdMwkyadxXbOtfVMc,https://api.spotify.com/v1/audio-analysis/6XCZRVdMwkyadxXbOtfVMc,245840,4
663,Hot Child in the City - Extended Remix,Rock America,Nick Gilder,50,4F1DV1FrB68LNpmlvQs01N,False,0.731,0.664,4,-6.995,1,0.0371,0.0349,7.59e-05,0.127,0.818,110.775,audio_features,4F1DV1FrB68LNpmlvQs01N,spotify:track:4F1DV1FrB68LNpmlvQs01N,https://api.spotify.com/v1/tracks/4F1DV1FrB68LNpmlvQs01N,https://api.spotify.com/v1/audio-analysis/4F1DV1FrB68LNpmlvQs01N,215092,4
