,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
172,Wind Beneath My Wings,Experience The Divine (Greatest Hits),Bette Midler,50,4ErUhFToT1yX52MeHqH8OY,False,0.51,0.458,10,-7.566,1,0.0289,0.551,0.0,0.0853,0.177,123.694,audio_features,4ErUhFToT1yX52MeHqH8OY,spotify:track:4ErUhFToT1yX52MeHqH8OY,https://api.spotify.com/v1/tracks/4ErUhFToT1yX52MeHqH8OY,https://api.spotify.com/v1/audio-analysis/4ErUhFToT1yX52MeHqH8OY,293853,4
173,Wind Beneath My Wings,Seven Wonders - 80's Miracles,Various Artists,0,57OrU8wWBz6ht1lsvb8Gc0,False,0.509,0.457,10,-7.566,1,0.0289,0.551,0.0,0.0853,0.177,123.698,audio_features,57OrU8wWBz6ht1lsvb8Gc0,spotify:track:57OrU8wWBz6ht1lsvb8Gc0,https://api.spotify.com/v1/tracks/57OrU8wWBz6ht1lsvb8Gc0,https://api.spotify.com/v1/audio-analysis/57OrU8wWBz6ht1lsvb8Gc0,293853,4
174,Good Thing,The Raw & The Cooked,Fine Young Cannibals,63,6lRkdG1HurVS72F9GoBeWJ,False,0.747,0.586,9,-10.119,0,0.0299,0.0708,8e-05,0.0427,0.893,164.718,audio_features,6lRkdG1HurVS72F9GoBeWJ,spotify:track:6lRkdG1HurVS72F9GoBeWJ,https://api.spotify.com/v1/tracks/6lRkdG1HurVS72F9GoBeWJ,https://api.spotify.com/v1/audio-analysis/6lRkdG1HurVS72F9GoBeWJ,201867,4
175,Cold Hearted,Forever Your Girl,Paula Abdul,54,6jrp8qBMJO6vhAeYVAsdk9,False,0.879,0.679,7,-8.59,0,0.0421,0.149,0.00871,0.0787,0.724,122.38,audio_features,6jrp8qBMJO6vhAeYVAsdk9,spotify:track:6jrp8qBMJO6vhAeYVAsdk9,https://api.spotify.com/v1/tracks/6jrp8qBMJO6vhAeYVAsdk9,https://api.spotify.com/v1/audio-analysis/6jrp8qBMJO6vhAeYVAsdk9,230853,4
176,Cold Hearted - Edit,Greatest Hits,Paula Abdul,39,4bczJ3GBiORXUoeJ1rdXV4,False,0.874,0.654,7,-8.261,0,0.0513,0.134,0.00158,0.0783,0.715,122.459,audio_features,4bczJ3GBiORXUoeJ1rdXV4,spotify:track:4bczJ3GBiORXUoeJ1rdXV4,https://api.spotify.com/v1/tracks/4bczJ3GBiORXUoeJ1rdXV4,https://api.spotify.com/v1/audio-analysis/4bczJ3GBiORXUoeJ1rdXV4,217160,4
177,Miss You Much,Rhythm Nation 1814,Janet Jackson,50,4r5VaK6H1bq0cTGPMTN97Z,False,0.702,0.975,6,-7.968,0,0.0396,0.0305,0.000134,0.165,0.646,115.185,audio_features,4r5VaK6H1bq0cTGPMTN97Z,spotify:track:4r5VaK6H1bq0cTGPMTN97Z,https://api.spotify.com/v1/tracks/4r5VaK6H1bq0cTGPMTN97Z,https://api.spotify.com/v1/audio-analysis/4r5VaK6H1bq0cTGPMTN97Z,252333,4
178,Miss You Much,Design Of A Decade 1986/1996,Janet Jackson,23,7MF8W1aZbgkz8yqCsFEaU7,False,0.669,0.983,6,-5.728,0,0.0453,0.0101,0.000675,0.152,0.694,115.194,audio_features,7MF8W1aZbgkz8yqCsFEaU7,spotify:track:7MF8W1aZbgkz8yqCsFEaU7,https://api.spotify.com/v1/tracks/7MF8W1aZbgkz8yqCsFEaU7,https://api.spotify.com/v1/audio-analysis/7MF8W1aZbgkz8yqCsFEaU7,252093,4
179,Miss You Much,Best Of Number Ones,Janet Jackson,23,0SF5HP8YBKcPAKQQgQxURJ,False,0.659,0.983,6,-5.352,0,0.0436,0.00559,0.000664,0.0757,0.737,115.171,audio_features,0SF5HP8YBKcPAKQQgQxURJ,spotify:track:0SF5HP8YBKcPAKQQgQxURJ,https://api.spotify.com/v1/tracks/0SF5HP8YBKcPAKQQgQxURJ,https://api.spotify.com/v1/audio-analysis/0SF5HP8YBKcPAKQQgQxURJ,252920,4
180,"Miss You Much - 7"" Slammin' R&B Mix",Miss You Much: The Remixes,Janet Jackson,15,69ll2dkaMkJYpiyZRpw2Yk,False,0.79,0.724,1,-13.372,1,0.0586,0.0268,0.0126,0.0224,0.785,116.659,audio_features,69ll2dkaMkJYpiyZRpw2Yk,spotify:track:69ll2dkaMkJYpiyZRpw2Yk,https://api.spotify.com/v1/tracks/69ll2dkaMkJYpiyZRpw2Yk,https://api.spotify.com/v1/audio-analysis/69ll2dkaMkJYpiyZRpw2Yk,268227,4
181,Listen To Your Heart,Look Sharp!,Roxette,55,1qIKynV6YQZgocodkPdCy7,False,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,audio_features,1qIKynV6YQZgocodkPdCy7,spotify:track:1qIKynV6YQZgocodkPdCy7,https://api.spotify.com/v1/tracks/1qIKynV6YQZgocodkPdCy7,https://api.spotify.com/v1/audio-analysis/1qIKynV6YQZgocodkPdCy7,328093,4
182,Listen To Your Heart,Look Sharp! (Extended Version),Roxette,72,5JvsxPAHsGxwNq4xto2HtM,False,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,audio_features,5JvsxPAHsGxwNq4xto2HtM,spotify:track:5JvsxPAHsGxwNq4xto2HtM,https://api.spotify.com/v1/tracks/5JvsxPAHsGxwNq4xto2HtM,https://api.spotify.com/v1/audio-analysis/5JvsxPAHsGxwNq4xto2HtM,328093,4
183,Another Day in Paradise - 2016 Remaster,...But Seriously (Deluxe Edition),Phil Collins,73,1NCuYqMc8hKMb4cpNTcJbD,False,0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,audio_features,1NCuYqMc8hKMb4cpNTcJbD,spotify:track:1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/tracks/1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/audio-analysis/1NCuYqMc8hKMb4cpNTcJbD,322133,4
184,Another Day in Paradise - 2016 Remaster,...But Seriously (2016 Remaster),Phil Collins,45,5ZaDUleherOLBbHk2PU1Kr,False,0.781,0.576,5,-6.947,0,0.0311,0.731,0.00264,0.0561,0.397,101.985,audio_features,5ZaDUleherOLBbHk2PU1Kr,spotify:track:5ZaDUleherOLBbHk2PU1Kr,https://api.spotify.com/v1/tracks/5ZaDUleherOLBbHk2PU1Kr,https://api.spotify.com/v1/audio-analysis/5ZaDUleherOLBbHk2PU1Kr,323040,4
185,Another Day in Paradise - 2016 Remaster,The Singles (Expanded),Phil Collins,41,0hy017yRRDz9bnfXEmx6et,False,0.783,0.571,5,-7.008,0,0.0317,0.733,0.00263,0.0544,0.362,101.963,audio_features,0hy017yRRDz9bnfXEmx6et,spotify:track:0hy017yRRDz9bnfXEmx6et,https://api.spotify.com/v1/tracks/0hy017yRRDz9bnfXEmx6et,https://api.spotify.com/v1/audio-analysis/0hy017yRRDz9bnfXEmx6et,323053,4
186,Another Day in Paradise (Live from the Serious Tour 1990) - Remastered,Serious Hits...Live! (2019 Remaster),Phil Collins,43,7bj48SzqJPtfoR5W01C1lT,False,0.681,0.69,5,-8.06,0,0.0281,0.503,0.000282,0.962,0.494,103.94,audio_features,7bj48SzqJPtfoR5W01C1lT,spotify:track:7bj48SzqJPtfoR5W01C1lT,https://api.spotify.com/v1/tracks/7bj48SzqJPtfoR5W01C1lT,https://api.spotify.com/v1/audio-analysis/7bj48SzqJPtfoR5W01C1lT,336573,4
187,Lean on Me,Still Bill,Bill Withers,70,3M8FzayQWtkvOhqMn2V4T2,False,0.619,0.22,0,-13.843,1,0.0672,0.782,1.19e-05,0.124,0.426,75.143,audio_features,3M8FzayQWtkvOhqMn2V4T2,spotify:track:3M8FzayQWtkvOhqMn2V4T2,https://api.spotify.com/v1/tracks/3M8FzayQWtkvOhqMn2V4T2,https://api.spotify.com/v1/audio-analysis/3M8FzayQWtkvOhqMn2V4T2,258835,4
188,Lean on Me,Lean on Me: The Best of Bill Withers,Bill Withers,51,5zCJvrT3C7cIfHsR5iG95l,False,0.614,0.235,0,-11.8,1,0.0537,0.813,5.68e-06,0.161,0.413,75.178,audio_features,5zCJvrT3C7cIfHsR5iG95l,spotify:track:5zCJvrT3C7cIfHsR5iG95l,https://api.spotify.com/v1/tracks/5zCJvrT3C7cIfHsR5iG95l,https://api.spotify.com/v1/audio-analysis/5zCJvrT3C7cIfHsR5iG95l,257533,4
189,Lean on Me,The Essential Bill Withers,Bill Withers,51,20kN7bu0HMO8rIVY6tEytW,False,0.621,0.246,0,-11.162,1,0.0598,0.81,1.21e-05,0.133,0.452,75.093,audio_features,20kN7bu0HMO8rIVY6tEytW,spotify:track:20kN7bu0HMO8rIVY6tEytW,https://api.spotify.com/v1/tracks/20kN7bu0HMO8rIVY6tEytW,https://api.spotify.com/v1/audio-analysis/20kN7bu0HMO8rIVY6tEytW,257707,4
190,With Or Without You - Remastered,The Joshua Tree (Super Deluxe),U2,78,6ADSaE87h8Y3lccZlBJdXH,False,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,6ADSaE87h8Y3lccZlBJdXH,spotify:track:6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/tracks/6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/audio-analysis/6ADSaE87h8Y3lccZlBJdXH,295516,4
191,With Or Without You - Remastered,The Joshua Tree (Deluxe),U2,54,4ha9ajL4Kz98uldAfuos6p,False,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,4ha9ajL4Kz98uldAfuos6p,spotify:track:4ha9ajL4Kz98uldAfuos6p,https://api.spotify.com/v1/tracks/4ha9ajL4Kz98uldAfuos6p,https://api.spotify.com/v1/audio-analysis/4ha9ajL4Kz98uldAfuos6p,295516,4
192,With Or Without You,U218 Singles,U2,51,6QPhpvO1pWDS91EsEmzsbc,False,0.546,0.539,2,-7.342,1,0.0267,0.000135,0.235,0.119,0.122,109.92,audio_features,6QPhpvO1pWDS91EsEmzsbc,spotify:track:6QPhpvO1pWDS91EsEmzsbc,https://api.spotify.com/v1/tracks/6QPhpvO1pWDS91EsEmzsbc,https://api.spotify.com/v1/audio-analysis/6QPhpvO1pWDS91EsEmzsbc,296227,4
193,With Or Without You - Remastered,The Joshua Tree,U2,52,2x45xqISlmmDJqxOqr8BuS,False,0.538,0.432,2,-11.882,1,0.0295,0.000185,0.309,0.139,0.116,110.181,audio_features,2x45xqISlmmDJqxOqr8BuS,spotify:track:2x45xqISlmmDJqxOqr8BuS,https://api.spotify.com/v1/tracks/2x45xqISlmmDJqxOqr8BuS,https://api.spotify.com/v1/audio-analysis/2x45xqISlmmDJqxOqr8BuS,295520,4
194,Here I Go Again - 2018 Remaster,Whitesnake (2018 Remaster),Whitesnake,64,1qOU8KzFifXE9YrgjVwYvc,False,0.292,0.823,7,-6.763,1,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,audio_features,1qOU8KzFifXE9YrgjVwYvc,spotify:track:1qOU8KzFifXE9YrgjVwYvc,https://api.spotify.com/v1/tracks/1qOU8KzFifXE9YrgjVwYvc,https://api.spotify.com/v1/audio-analysis/1qOU8KzFifXE9YrgjVwYvc,275395,4
195,Here I Go Again,Saints & Sinners,Whitesnake,59,29pzjF6ZkzcW3ofgOVbF0t,False,0.213,0.634,4,-12.967,0,0.0596,0.369,0.00199,0.359,0.354,174.443,audio_features,29pzjF6ZkzcW3ofgOVbF0t,spotify:track:29pzjF6ZkzcW3ofgOVbF0t,https://api.spotify.com/v1/tracks/29pzjF6ZkzcW3ofgOVbF0t,https://api.spotify.com/v1/audio-analysis/29pzjF6ZkzcW3ofgOVbF0t,308800,4
196,Here I Go Again - Radio Mix,Whitesnake (30th Anniversary Super Deluxe Edition),Whitesnake,52,6m8FEpCFkSrzhH1W3R2yKU,False,0.48,0.887,7,-4.91,1,0.0319,0.147,0.00011,0.33,0.69,92.971,audio_features,6m8FEpCFkSrzhH1W3R2yKU,spotify:track:6m8FEpCFkSrzhH1W3R2yKU,https://api.spotify.com/v1/tracks/6m8FEpCFkSrzhH1W3R2yKU,https://api.spotify.com/v1/audio-analysis/6m8FEpCFkSrzhH1W3R2yKU,232133,4
197,Here I Go Again 87,Mellow '80s Gold,Various Artists,0,4oGPA4YfgqSBhGVkoVgwsw,False,0.367,0.824,7,-6.763,1,0.0377,0.0121,8.55e-05,0.155,0.253,89.946,audio_features,4oGPA4YfgqSBhGVkoVgwsw,spotify:track:4oGPA4YfgqSBhGVkoVgwsw,https://api.spotify.com/v1/tracks/4oGPA4YfgqSBhGVkoVgwsw,https://api.spotify.com/v1/audio-analysis/4oGPA4YfgqSBhGVkoVgwsw,275395,4
198,Here I Go Again 87,Biker Hits,Various Artists,0,0juYBdCEK35coilDKRFMKL,False,0.367,0.824,7,-6.763,1,0.0377,0.0121,8.55e-05,0.155,0.253,89.946,audio_features,0juYBdCEK35coilDKRFMKL,spotify:track:0juYBdCEK35coilDKRFMKL,https://api.spotify.com/v1/tracks/0juYBdCEK35coilDKRFMKL,https://api.spotify.com/v1/audio-analysis/0juYBdCEK35coilDKRFMKL,275395,4
199,Here I Go Again (US Version),Rock,Various Artists,0,5kJXpLdK9Fis5XTauW4iQx,False,0.485,0.876,7,-5.434,1,0.0337,0.152,0.000146,0.14,0.686,92.973,audio_features,5kJXpLdK9Fis5XTauW4iQx,spotify:track:5kJXpLdK9Fis5XTauW4iQx,https://api.spotify.com/v1/tracks/5kJXpLdK9Fis5XTauW4iQx,https://api.spotify.com/v1/audio-analysis/5kJXpLdK9Fis5XTauW4iQx,232800,4
200,Here I Go Again - 1987 Version; 2017 Remaster,Whitesnake (30th Anniversary Super Deluxe Edition),Whitesnake,39,6e5QLlTaBHxMhUDd8E19vs,False,0.384,0.846,7,-5.591,1,0.0365,0.151,7.73e-05,0.0913,0.272,90.172,audio_features,6e5QLlTaBHxMhUDd8E19vs,spotify:track:6e5QLlTaBHxMhUDd8E19vs,https://api.spotify.com/v1/tracks/6e5QLlTaBHxMhUDd8E19vs,https://api.spotify.com/v1/audio-analysis/6e5QLlTaBHxMhUDd8E19vs,275693,4
201,Heaven Is A Place On Earth,Heaven On Earth,Belinda Carlisle,64,58mFu3oIpBa0HLNeJIxsw3,False,0.64,0.81,4,-10.19,1,0.033,0.031,2.22e-06,0.0492,0.804,122.868,audio_features,58mFu3oIpBa0HLNeJIxsw3,spotify:track:58mFu3oIpBa0HLNeJIxsw3,https://api.spotify.com/v1/tracks/58mFu3oIpBa0HLNeJIxsw3,https://api.spotify.com/v1/audio-analysis/58mFu3oIpBa0HLNeJIxsw3,247293,4
202,Heaven Is A Place On Earth,Her Greatest Hits,Belinda Carlisle,35,15vASgdsk0J4BrkZhVTxFG,False,0.638,0.793,4,-10.73,1,0.0325,0.0342,1.51e-06,0.0947,0.749,122.864,audio_features,15vASgdsk0J4BrkZhVTxFG,spotify:track:15vASgdsk0J4BrkZhVTxFG,https://api.spotify.com/v1/tracks/15vASgdsk0J4BrkZhVTxFG,https://api.spotify.com/v1/audio-analysis/15vASgdsk0J4BrkZhVTxFG,245960,4
203,Heaven Is A Place On Earth,Best Of,Belinda Carlisle,20,7lS4Hq2fo7OwFwNx7AdsyB,False,0.611,0.927,4,-5.157,1,0.0395,0.00806,0.000189,0.0849,0.634,122.804,audio_features,7lS4Hq2fo7OwFwNx7AdsyB,spotify:track:7lS4Hq2fo7OwFwNx7AdsyB,https://api.spotify.com/v1/tracks/7lS4Hq2fo7OwFwNx7AdsyB,https://api.spotify.com/v1/audio-analysis/7lS4Hq2fo7OwFwNx7AdsyB,254813,4
204,Faith - Remastered,Faith,George Michael,73,0HEmnAUT8PHznIAAmVXqFJ,False,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,audio_features,0HEmnAUT8PHznIAAmVXqFJ,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,https://api.spotify.com/v1/tracks/0HEmnAUT8PHznIAAmVXqFJ,https://api.spotify.com/v1/audio-analysis/0HEmnAUT8PHznIAAmVXqFJ,193200,4
205,Kyrie - Single Version,The Best of Mr. Mister,Mr. Mister,58,5BXj1QDRU77J1ngVavG1tI,False,0.489,0.676,0,-8.769,1,0.0368,0.287,0.0,0.389,0.622,89.749,audio_features,5BXj1QDRU77J1ngVavG1tI,spotify:track:5BXj1QDRU77J1ngVavG1tI,https://api.spotify.com/v1/tracks/5BXj1QDRU77J1ngVavG1tI,https://api.spotify.com/v1/audio-analysis/5BXj1QDRU77J1ngVavG1tI,256960,4
206,Kyrie,Welcome To The Real World,Mr. Mister,54,5K3Q1gue9nWLLwh6bYQFoB,False,0.496,0.566,0,-13.749,1,0.035,0.0824,0.0,0.13,0.672,89.913,audio_features,5K3Q1gue9nWLLwh6bYQFoB,spotify:track:5K3Q1gue9nWLLwh6bYQFoB,https://api.spotify.com/v1/tracks/5K3Q1gue9nWLLwh6bYQFoB,https://api.spotify.com/v1/audio-analysis/5K3Q1gue9nWLLwh6bYQFoB,265840,4
207,Sara,Knee Deep In The Hoopla,Starship,59,0HzjKCZmFhwcO2vnnHpj9q,False,0.642,0.805,10,-5.675,1,0.0336,0.352,1.02e-06,0.118,0.365,100.273,audio_features,0HzjKCZmFhwcO2vnnHpj9q,spotify:track:0HzjKCZmFhwcO2vnnHpj9q,https://api.spotify.com/v1/tracks/0HzjKCZmFhwcO2vnnHpj9q,https://api.spotify.com/v1/audio-analysis/0HzjKCZmFhwcO2vnnHpj9q,292800,4
208,These Dreams - Remastered 2000,Greatest Hits 1985-1995,Heart,54,521WSlpe1Pisn7BcEoefp2,False,0.538,0.571,11,-8.551,1,0.0301,0.449,1.84e-05,0.189,0.306,78.95,audio_features,521WSlpe1Pisn7BcEoefp2,spotify:track:521WSlpe1Pisn7BcEoefp2,https://api.spotify.com/v1/tracks/521WSlpe1Pisn7BcEoefp2,https://api.spotify.com/v1/audio-analysis/521WSlpe1Pisn7BcEoefp2,254133,4
209,These Dreams,Best 80s Hits,Various Artists,40,1gN4wxYZXt7WBM2LAlS8MH,False,0.544,0.435,11,-11.442,1,0.0304,0.537,3.73e-06,0.0995,0.325,79.034,audio_features,1gN4wxYZXt7WBM2LAlS8MH,spotify:track:1gN4wxYZXt7WBM2LAlS8MH,https://api.spotify.com/v1/tracks/1gN4wxYZXt7WBM2LAlS8MH,https://api.spotify.com/v1/audio-analysis/1gN4wxYZXt7WBM2LAlS8MH,255507,4
210,These Dreams - Live,Alive in Seattle (Live),Heart,26,6QbgUoSu1JAg8YnqTAL7Wb,False,0.458,0.482,9,-12.218,1,0.0388,0.31,4.62e-05,0.944,0.386,78.986,audio_features,6QbgUoSu1JAg8YnqTAL7Wb,spotify:track:6QbgUoSu1JAg8YnqTAL7Wb,https://api.spotify.com/v1/tracks/6QbgUoSu1JAg8YnqTAL7Wb,https://api.spotify.com/v1/audio-analysis/6QbgUoSu1JAg8YnqTAL7Wb,338000,4
211,Rock Me Amadeus - The Gold Mix,Falco 3,Falco,62,0DfG1ltJnZyq4Tx3ZLL7ZU,False,0.61,0.817,4,-9.45,0,0.133,0.296,0.00336,0.0884,0.89,176.735,audio_features,0DfG1ltJnZyq4Tx3ZLL7ZU,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU,https://api.spotify.com/v1/tracks/0DfG1ltJnZyq4Tx3ZLL7ZU,https://api.spotify.com/v1/audio-analysis/0DfG1ltJnZyq4Tx3ZLL7ZU,202236,4
212,Rock Me Amadeus - The American Extended,Rock Me Amadeus 30th Anniversary,Falco,48,5SjPfAiNn5rqPkQNcglgVR,False,0.685,0.921,10,-6.486,0,0.0715,0.106,0.00419,0.348,0.967,94.089,audio_features,5SjPfAiNn5rqPkQNcglgVR,spotify:track:5SjPfAiNn5rqPkQNcglgVR,https://api.spotify.com/v1/tracks/5SjPfAiNn5rqPkQNcglgVR,https://api.spotify.com/v1/audio-analysis/5SjPfAiNn5rqPkQNcglgVR,350133,4
213,Rock Me Amadeus - The Gold Mix,Falco 3 25th Anniversary Edition,Falco,45,4pEXlAqaJXQUKDteKRLun9,False,0.609,0.901,4,-4.929,0,0.144,0.315,0.00949,0.116,0.866,176.664,audio_features,4pEXlAqaJXQUKDteKRLun9,spotify:track:4pEXlAqaJXQUKDteKRLun9,https://api.spotify.com/v1/tracks/4pEXlAqaJXQUKDteKRLun9,https://api.spotify.com/v1/audio-analysis/4pEXlAqaJXQUKDteKRLun9,201467,4
214,Rock Me Amadeus - The Gold Mix,Greatest Hits,Falco,31,7tGOxq2rtohwKQml0YVF9d,False,0.617,0.886,4,-7.092,0,0.132,0.396,0.005,0.14,0.909,176.563,audio_features,7tGOxq2rtohwKQml0YVF9d,spotify:track:7tGOxq2rtohwKQml0YVF9d,https://api.spotify.com/v1/tracks/7tGOxq2rtohwKQml0YVF9d,https://api.spotify.com/v1/audio-analysis/7tGOxq2rtohwKQml0YVF9d,201867,4
215,Rock Me Amadeus - The Gold Mix,80s 100 Hits,Various Artists,44,1tDH02wIa3ysGiAe4qsLXL,False,0.62,0.715,4,-13.254,0,0.108,0.388,0.00439,0.66,0.908,176.69,audio_features,1tDH02wIa3ysGiAe4qsLXL,spotify:track:1tDH02wIa3ysGiAe4qsLXL,https://api.spotify.com/v1/tracks/1tDH02wIa3ysGiAe4qsLXL,https://api.spotify.com/v1/audio-analysis/1tDH02wIa3ysGiAe4qsLXL,195160,4
216,Rock Me Amadeus - The American Edit,Exquisite,Falco,34,69womHwdCZ4DDn8b7dxTaq,False,0.678,0.923,10,-8.061,0,0.0651,0.161,0.000785,0.354,0.962,92.753,audio_features,69womHwdCZ4DDn8b7dxTaq,spotify:track:69womHwdCZ4DDn8b7dxTaq,https://api.spotify.com/v1/tracks/69womHwdCZ4DDn8b7dxTaq,https://api.spotify.com/v1/audio-analysis/69womHwdCZ4DDn8b7dxTaq,194529,4
217,Rock Me Amadeus - The Gold Mix,80 Totally 80s Hits,Various Artists,24,2CrLfyVutC7ayRnrfuCkhs,False,0.609,0.901,4,-4.929,0,0.144,0.315,0.00949,0.116,0.866,176.664,audio_features,2CrLfyVutC7ayRnrfuCkhs,spotify:track:2CrLfyVutC7ayRnrfuCkhs,https://api.spotify.com/v1/tracks/2CrLfyVutC7ayRnrfuCkhs,https://api.spotify.com/v1/audio-analysis/2CrLfyVutC7ayRnrfuCkhs,201467,4
218,Rock Me Amadeus - Salieri Mix,Rock Me Amadeus 30th Anniversary,Falco,35,25bpNQ8AV2BMvWEIpjEOWo,False,0.631,0.902,11,-6.182,0,0.182,0.144,0.00699,0.271,0.846,177.792,audio_features,25bpNQ8AV2BMvWEIpjEOWo,spotify:track:25bpNQ8AV2BMvWEIpjEOWo,https://api.spotify.com/v1/tracks/25bpNQ8AV2BMvWEIpjEOWo,https://api.spotify.com/v1/audio-analysis/25bpNQ8AV2BMvWEIpjEOWo,502000,4
219,Rock Me Amadeus - The American Edit,Rock Me Amadeus 30th Anniversary,Falco,26,4k1V4x3xgOFlvR1lt6WYh1,False,0.678,0.942,10,-6.743,0,0.0691,0.163,0.00101,0.352,0.962,92.765,audio_features,4k1V4x3xgOFlvR1lt6WYh1,spotify:track:4k1V4x3xgOFlvR1lt6WYh1,https://api.spotify.com/v1/tracks/4k1V4x3xgOFlvR1lt6WYh1,https://api.spotify.com/v1/audio-analysis/4k1V4x3xgOFlvR1lt6WYh1,194529,4
220,Rock Me Amadeus - Canadian Version,Rock Me Amadeus 30th Anniversary,Falco,31,6LcGXBSgjZev8Jk9BCi5mK,False,0.592,0.891,11,-6.185,0,0.2,0.125,0.000142,0.359,0.743,178.444,audio_features,6LcGXBSgjZev8Jk9BCi5mK,spotify:track:6LcGXBSgjZev8Jk9BCi5mK,https://api.spotify.com/v1/tracks/6LcGXBSgjZev8Jk9BCi5mK,https://api.spotify.com/v1/audio-analysis/6LcGXBSgjZev8Jk9BCi5mK,248764,4
221,Rock Me Amadeus - Canadian/American '86 Mix,Rock Me Amadeus 30th Anniversary,Falco,27,0ysV0qE6KJPOaE2wxB0RJP,False,0.687,0.907,7,-6.479,1,0.195,0.277,0.00166,0.311,0.844,91.226,audio_features,0ysV0qE6KJPOaE2wxB0RJP,spotify:track:0ysV0qE6KJPOaE2wxB0RJP,https://api.spotify.com/v1/tracks/0ysV0qE6KJPOaE2wxB0RJP,https://api.spotify.com/v1/audio-analysis/0ysV0qE6KJPOaE2wxB0RJP,247240,4
222,Rock Me Amadeus - The Gold Mix,Falco 3 25th Anniversary Edition,Falco,43,0wbdaBHi8t5e7EqXV88nka,False,0.609,0.901,4,-4.929,0,0.144,0.315,0.00949,0.116,0.866,176.664,audio_features,0wbdaBHi8t5e7EqXV88nka,spotify:track:0wbdaBHi8t5e7EqXV88nka,https://api.spotify.com/v1/tracks/0wbdaBHi8t5e7EqXV88nka,https://api.spotify.com/v1/audio-analysis/0wbdaBHi8t5e7EqXV88nka,201467,4
223,Rock Me Amadeus - The Gold Mix,Rock Me Amadeus 30th Anniversary,Falco,30,61KSXW8r9oI1hPHv9Jx1tL,False,0.617,0.861,4,-7.457,0,0.136,0.291,0.00534,0.0877,0.886,176.706,audio_features,61KSXW8r9oI1hPHv9Jx1tL,spotify:track:61KSXW8r9oI1hPHv9Jx1tL,https://api.spotify.com/v1/tracks/61KSXW8r9oI1hPHv9Jx1tL,https://api.spotify.com/v1/audio-analysis/61KSXW8r9oI1hPHv9Jx1tL,202236,4
224,Rock Me Amadeus - The Gold Mix,Greatest Hits,Falco,27,2RQN3SCB7sDuk2IwYo4mam,False,0.617,0.852,7,-6.306,1,0.133,0.242,0.0155,0.0926,0.752,176.64,audio_features,2RQN3SCB7sDuk2IwYo4mam,spotify:track:2RQN3SCB7sDuk2IwYo4mam,https://api.spotify.com/v1/tracks/2RQN3SCB7sDuk2IwYo4mam,https://api.spotify.com/v1/audio-analysis/2RQN3SCB7sDuk2IwYo4mam,201360,4
225,Addicted To Love,Riptide,Robert Palmer,68,5izGeTxueiFX1UPFGohY9w,False,0.702,0.578,2,-13.415,1,0.031,0.382,5.89e-06,0.0425,0.975,111.617,audio_features,5izGeTxueiFX1UPFGohY9w,spotify:track:5izGeTxueiFX1UPFGohY9w,https://api.spotify.com/v1/tracks/5izGeTxueiFX1UPFGohY9w,https://api.spotify.com/v1/audio-analysis/5izGeTxueiFX1UPFGohY9w,363640,4
226,Addicted To Love - Edit,The Very Best Of The Island Years,Robert Palmer,51,1xBZEEpCBic1hVpRiIEL5Q,False,0.62,0.813,2,-6.118,1,0.0312,0.372,0.00626,0.0306,0.974,111.076,audio_features,1xBZEEpCBic1hVpRiIEL5Q,spotify:track:1xBZEEpCBic1hVpRiIEL5Q,https://api.spotify.com/v1/tracks/1xBZEEpCBic1hVpRiIEL5Q,https://api.spotify.com/v1/audio-analysis/1xBZEEpCBic1hVpRiIEL5Q,235827,4
227,Addicted To Love - Remix,Addictions Volume 1,Robert Palmer,36,460gRGQCKIBKhJR1aTt2BG,False,0.706,0.53,2,-12.83,1,0.0294,0.167,1.73e-05,0.0301,0.98,111.555,audio_features,460gRGQCKIBKhJR1aTt2BG,spotify:track:460gRGQCKIBKhJR1aTt2BG,https://api.spotify.com/v1/tracks/460gRGQCKIBKhJR1aTt2BG,https://api.spotify.com/v1/audio-analysis/460gRGQCKIBKhJR1aTt2BG,265267,4
