,song,album_name,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id_x,uri,track_href,analysis_url,duration_ms,time_signature,num_samples,duration,analysis_sample_rate,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,id_y,id,genres
835,Dark Lady,Greatest Hits: Sonny & Cher,Sonny & Cher,19,4H8C68QvZYAjtbkhbiB7DM,False,0.512,0.512,8,-11.333,1,0.0326,0.32,0.0,0.243,0.508,147.126,audio_features,4H8C68QvZYAjtbkhbiB7DM,spotify:track:4H8C68QvZYAjtbkhbiB7DM,https://api.spotify.com/v1/tracks/4H8C68QvZYAjtbkhbiB7DM,https://api.spotify.com/v1/audio-analysis/4H8C68QvZYAjtbkhbiB7DM,206400,4,4551120,206.4,22050,0.43093,197.4625,0.501,1.0,0.401,0.433,4H8C68QvZYAjtbkhbiB7DM,4H8C68QvZYAjtbkhbiB7DM,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
836,Dark Lady,20th Century Masters: The Millennium Collection: Best Of Cher,Cher,17,3wrHWvxbth0wCiKgAn2FlO,False,0.529,0.58,8,-7.774,1,0.0366,0.485,0.0,0.25,0.421,147.143,audio_features,3wrHWvxbth0wCiKgAn2FlO,spotify:track:3wrHWvxbth0wCiKgAn2FlO,https://api.spotify.com/v1/tracks/3wrHWvxbth0wCiKgAn2FlO,https://api.spotify.com/v1/audio-analysis/3wrHWvxbth0wCiKgAn2FlO,206800,4,4559940,206.8,22050,0.14077,197.17805,0.492,1.0,0.395,0.441,3wrHWvxbth0wCiKgAn2FlO,3wrHWvxbth0wCiKgAn2FlO,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
837,Dark Lady,Essential Collection: Cher,Cher,15,2W0xRSFj5R8uTnyEQa4O6Z,False,0.522,0.578,8,-8.13,1,0.0354,0.409,0.0,0.0921,0.463,147.156,audio_features,2W0xRSFj5R8uTnyEQa4O6Z,spotify:track:2W0xRSFj5R8uTnyEQa4O6Z,https://api.spotify.com/v1/tracks/2W0xRSFj5R8uTnyEQa4O6Z,https://api.spotify.com/v1/audio-analysis/2W0xRSFj5R8uTnyEQa4O6Z,208200,4,4590810,208.2,22050,0.28091,197.27094,0.496,1.0,0.389,0.433,2W0xRSFj5R8uTnyEQa4O6Z,2W0xRSFj5R8uTnyEQa4O6Z,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
838,Dark Lady,If I Could Turn Back Time: Cher's Greatest Hits,Cher,16,3uQkYTfqUdyQs7iy2n1QoY,False,0.521,0.623,8,-7.032,1,0.0335,0.115,0.0,0.111,0.381,147.003,audio_features,3uQkYTfqUdyQs7iy2n1QoY,spotify:track:3uQkYTfqUdyQs7iy2n1QoY,https://api.spotify.com/v1/tracks/3uQkYTfqUdyQs7iy2n1QoY,https://api.spotify.com/v1/audio-analysis/3uQkYTfqUdyQs7iy2n1QoY,207093,4,4566408,207.09332,22050,0.23764,197.4567,0.6,1.0,0.47,0.485,3uQkYTfqUdyQs7iy2n1QoY,3uQkYTfqUdyQs7iy2n1QoY,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
839,Dark Lady,Greatest Hits,Cher,14,08UpfmQXuN1CxnVjaE6Nje,False,0.5,0.456,8,-13.038,1,0.0331,0.285,0.0,0.411,0.458,146.965,audio_features,08UpfmQXuN1CxnVjaE6Nje,spotify:track:08UpfmQXuN1CxnVjaE6Nje,https://api.spotify.com/v1/tracks/08UpfmQXuN1CxnVjaE6Nje,https://api.spotify.com/v1/audio-analysis/08UpfmQXuN1CxnVjaE6Nje,206693,4,4557588,206.69333,22050,1.00422,198.3971,0.603,1.0,0.331,0.389,08UpfmQXuN1CxnVjaE6Nje,08UpfmQXuN1CxnVjaE6Nje,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
840,"Sunshine on My Shoulders - ""Greatest Hits"" Version",The Essential John Denver,John Denver,24,05LGsU8WTR0MGxHbaTJJnm,False,0.226,0.243,10,-12.767,1,0.0334,0.853,0.00744,0.12,0.245,144.306,audio_features,05LGsU8WTR0MGxHbaTJJnm,spotify:track:05LGsU8WTR0MGxHbaTJJnm,https://api.spotify.com/v1/tracks/05LGsU8WTR0MGxHbaTJJnm,https://api.spotify.com/v1/audio-analysis/05LGsU8WTR0MGxHbaTJJnm,311933,4,6878130,311.93332,22050,0.07388,304.2859,0.023,0.963,0.764,0.747,05LGsU8WTR0MGxHbaTJJnm,05LGsU8WTR0MGxHbaTJJnm,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
841,Sunshine on My Shoulders - Live 1995,The Wildlife Concert,John Denver,21,20SfK1kZqUy2mIAHkzS4ZQ,False,0.246,0.204,8,-18.294,1,0.044,0.819,0.00336,0.746,0.0596,73.034,audio_features,20SfK1kZqUy2mIAHkzS4ZQ,spotify:track:20SfK1kZqUy2mIAHkzS4ZQ,https://api.spotify.com/v1/tracks/20SfK1kZqUy2mIAHkzS4ZQ,https://api.spotify.com/v1/audio-analysis/20SfK1kZqUy2mIAHkzS4ZQ,323000,4,7122150,323.0,22050,0.0,323.0,0.032,0.921,0.648,0.727,20SfK1kZqUy2mIAHkzS4ZQ,20SfK1kZqUy2mIAHkzS4ZQ,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
842,"Sunshine on My Shoulders - ""Greatest Hits"" Version",All of My Memories,John Denver,19,6qNbmJiN529Hs9GDUly9zn,False,0.216,0.261,10,-12.061,1,0.032,0.7,0.00236,0.127,0.257,147.033,audio_features,6qNbmJiN529Hs9GDUly9zn,spotify:track:6qNbmJiN529Hs9GDUly9zn,https://api.spotify.com/v1/tracks/6qNbmJiN529Hs9GDUly9zn,https://api.spotify.com/v1/audio-analysis/6qNbmJiN529Hs9GDUly9zn,311760,4,6874308,311.76,22050,0.0,303.46738,0.078,0.924,0.755,0.734,6qNbmJiN529Hs9GDUly9zn,6qNbmJiN529Hs9GDUly9zn,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
843,Hooked on a Feeling,Hooked On A Feeling - 40th Anniversary Collection,Blue Swede,62,2Nz6aF1umHh5Et6I5H581L,False,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,audio_features,2Nz6aF1umHh5Et6I5H581L,spotify:track:2Nz6aF1umHh5Et6I5H581L,https://api.spotify.com/v1/tracks/2Nz6aF1umHh5Et6I5H581L,https://api.spotify.com/v1/audio-analysis/2Nz6aF1umHh5Et6I5H581L,172867,4,3811710,172.86667,22050,0.33655,163.94449,0.667,1.0,0.82,0.73,2Nz6aF1umHh5Et6I5H581L,2Nz6aF1umHh5Et6I5H581L,['classic swedish pop']
844,The Loco-Motion - Remastered 2002,Shinin' On (Remastered 2002 / Expanded Edition),Grand Funk Railroad,52,0PxYWaGiwWtcuL1VIMiEW4,False,0.456,0.933,0,-5.212,1,0.153,0.375,0.0,0.563,0.367,125.051,audio_features,0PxYWaGiwWtcuL1VIMiEW4,spotify:track:0PxYWaGiwWtcuL1VIMiEW4,https://api.spotify.com/v1/tracks/0PxYWaGiwWtcuL1VIMiEW4,https://api.spotify.com/v1/audio-analysis/0PxYWaGiwWtcuL1VIMiEW4,165800,4,3655890,165.8,22050,0.2083,158.62132,0.784,1.0,0.473,0.518,0PxYWaGiwWtcuL1VIMiEW4,0PxYWaGiwWtcuL1VIMiEW4,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'symphonic rock']"
