,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
216,i cant get no satisfaction  mono version,Out Of Our Heads,the rolling stones,76,2PzU4IB8Dr6mxV3lHuaG34,0,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4,4913034,222.81332,0.19002,213.94865,0.935,1.0,0.92,0.698,"['british invasion', 'classic rock', 'rock']",1965,1960
217,i cant get no satisfaction  mono version,Hot Rocks (1964-1971),the rolling stones,60,5FKkbyGm42hw1y08l2knlO,0,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603,222747,4,4911564,222.74667,0.20893,211.63828,0.978,1.0,0.594,0.429,"['british invasion', 'classic rock', 'rock']",1965,1960
218,i cant get no satisfaction  original single mono version,Singles 1965-1967,the rolling stones,45,1b6AW6uDrtrUN0Y6GJR45j,0,0.723,0.881,2,-6.801,1,0.0332,0.0412,0.0263,0.095,0.935,136.277,222973,4,4916562,222.97333,0.35932,214.117,0.932,1.0,0.979,0.73,"['british invasion', 'classic rock', 'rock']",1965,1960
219,i cant get no satisfaction  saturday club  1965,On Air (Deluxe),the rolling stones,45,2aBM9gLAhJgaUIo7HVZ75j,0,0.649,0.744,2,-8.279,1,0.0279,0.00101,0.616,0.0758,0.77,136.687,226880,4,5002704,226.88,0.19415,221.88408,0.932,1.0,0.866,0.735,"['british invasion', 'classic rock', 'rock']",1965,1960
220,i cant get no satisfaction  mono,The Rolling Stones In Mono (Remastered 2016),the rolling stones,40,2a8lZbMfqqYPRdnFxC0h36,0,0.723,0.878,2,-6.962,1,0.0336,0.0382,0.0224,0.128,0.917,136.295,223440,4,4926852,223.44,0.19401,213.94865,0.978,1.0,0.858,0.665,"['british invasion', 'classic rock', 'rock']",1965,1960
221,i cant get no satisfaction  mono version,Big Hits (High Tide and Green Grass),the rolling stones,34,2UOjqy9WRwMmBm6M6h6Jrm,0,0.723,0.861,2,-8.253,1,0.0342,0.0351,0.0746,0.116,0.934,136.288,222933,4,4915680,222.93333,0.22231,213.97769,0.956,1.0,0.78,0.618,"['british invasion', 'classic rock', 'rock']",1965,1960
222,i cant get no satisfaction  live,A Bigger Bang (Live),the rolling stones,31,0uyhzYLrea2F9PQNbDWKan,0,0.287,0.984,9,-4.119,1,0.113,0.241,0.907,0.952,0.112,142.555,495320,4,10921806,495.32,0.0,484.82104,0.394,0.988,0.359,0.398,"['british invasion', 'classic rock', 'rock']",1965,1960
223,i cant get no satisfaction  live licks tour  remastered 2009,Live Licks,the rolling stones,35,4B9Mt7tJXONfDEQkMWv3Fa,0,0.29,0.979,9,-2.83,1,0.0634,0.0337,0.00367,0.956,0.53,142.111,294933,4,6503280,294.93332,0.0,287.78232,0.694,0.94,0.688,0.556,"['british invasion', 'classic rock', 'rock']",1965,1960
224,"i cant get no satisfaction  live from madison square garden, new york1969",Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),the rolling stones,27,7i0GRg4OOImfw5DDGka9mP,0,0.437,0.911,9,-6.859,1,0.0372,0.000298,0.64,0.966,0.885,144.338,340627,4,7510818,340.62668,0.0,324.4292,0.787,1.0,0.723,0.645,"['british invasion', 'classic rock', 'rock']",1965,1960
225,i got you babe,Look At Us,sonny & cher,64,4SGBuq37Ol4HJr7pQqFMKa,0,0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6,110.583,190080,3,4191264,190.08,0.0,182.41016,0.817,0.773,1.0,0.765,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']",1965,1960
226,i got you babe,The Beat Goes On: Best Of,sonny & cher,59,2SWBfqj1FrS8t8z56G55rP,0,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533,193840,3,4274172,193.84,0.0,181.40009,0.664,0.812,1.0,0.777,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']",1965,1960
227,i got you babe,The Best Of Sonny & Cher,sonny & cher,49,6tMjtHEBwMkxslhOe9SHE8,0,0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6,110.583,190080,3,4191264,190.08,0.0,182.41016,0.817,0.773,1.0,0.765,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']",1965,1960
228,i got you babe  45 version,I Got You Babe / It's Gonna Rain [Digital 45],sonny & cher,22,4zgwcLHZNP9soysqD9PNlt,0,0.617,0.696,6,-9.095,1,0.0257,0.209,1.27e-06,0.095,0.619,110.528,190387,3,4198026,190.38667,0.0,181.36526,0.869,0.805,1.0,0.781,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']",1965,1960
229,help!  remastered 2009,Help! (Remastered),the beatles,71,7DD7eSuYSC5xk2ArU62esN,0,0.534,0.725,6,-7.576,0,0.0332,0.188,0.0,0.0994,0.763,95.003,139560,4,3077298,139.56,1.039,132.34795,0.145,1.0,0.0,0.304,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1965,1960
230,hang on sloopy,Hang On Sloopy: The Best Of The McCoys,the mccoys,56,0i7O5MtSTXvR4BEY7stpjF,0,0.765,0.516,7,-12.099,1,0.0334,0.167,0.0,0.0723,0.936,115.248,231800,4,5111190,231.8,0.0868,226.62675,0.784,1.0,0.542,0.651,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",1965,1960
231,yesterday  remastered 2009,Help! (Remastered),the beatles,75,3BQHpFgAp4l80e1XslIjNI,0,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,125667,4,2770950,125.66667,0.37134,119.64082,0.214,0.922,0.562,0.604,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1965,1960
232,yesterday  remastered 2015,1 (Remastered),the beatles,59,4E5rL7YL0hVUPqeMSpjEF2,0,0.401,0.189,0,-11.189,1,0.0287,0.871,0.0,0.0968,0.357,94.509,125320,4,2763306,125.32,0.0,119.32735,0.045,0.762,0.0,0.231,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1965,1960
233,get off of my cloud  live,got LIVE if you want it!,the rolling stones,20,2rBo6CIB4gp0wASTHCtWpf,0,0.285,0.902,4,-7.919,1,0.0732,0.0225,0.0,0.714,0.686,144.676,174080,4,3838464,174.08,0.0,174.08,0.265,1.0,0.672,0.625,"['british invasion', 'classic rock', 'rock']",1965,1960
234,turn! turn! turn! to everything there is a season,Turn! Turn! Turn!,the byrds,65,5qBqBdfTEIWJwAS0Jm2F5R,0,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,229360,4,5057388,229.36,0.0,220.69986,0.727,0.887,0.799,0.656,"['art rock', 'beatlesque', 'blues rock', 'brill building pop', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",1965,1960
235,turn! turn! turn! to everything there is a season,The Essential Byrds,the byrds,38,5PHGTeEdFxTEb4hepxug86,0,0.449,0.811,2,-8.17,1,0.0458,0.117,2.28e-05,0.0393,0.736,124.594,229533,4,5061210,229.53333,0.0927,220.79855,0.831,0.89,0.822,0.668,"['art rock', 'beatlesque', 'blues rock', 'brill building pop', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",1965,1960
236,turn! turn! turn! to everything there is a season,THE ORIGINAL SINGLES 1965 - 1967 Volume I,the byrds,30,2Ln9nUuOI5VEAsH3XmUnzM,0,0.423,0.683,2,-11.054,1,0.0411,0.515,0.00616,0.067,0.711,123.964,215040,4,4741632,215.04,0.08154,210.00127,0.765,0.922,0.83,0.66,"['art rock', 'beatlesque', 'blues rock', 'brill building pop', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",1965,1960
237,the sound of silence  electric version,Sounds Of Silence,simon & garfunkel,52,2YplrdHMBoRdnHgMeHEwHm,0,0.44,0.466,6,-9.712,1,0.0284,0.17,1.03e-06,0.118,0.543,107.744,185253,4,4084836,185.25333,0.37746,179.24063,0.502,0.93,0.557,0.656,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",1966,1960
238,we can work it out  remastered 2015,1 (Remastered),the beatles,60,1hTUFqJuQAMjXVGwUPWDqi,0,0.378,0.677,2,-8.63,1,0.0298,0.0635,0.0,0.183,0.648,106.071,135693,4,2992038,135.69333,0.0,128.01161,0.418,0.991,0.593,0.813,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1966,1960
239,we can work it out  remastered 2009,The Beatles 1962 - 1966 (Remastered),the beatles,57,7LNiAjyg9P2GKINTtN6Yt8,0,0.381,0.608,2,-10.061,1,0.0268,0.113,0.0,0.148,0.742,106.299,136120,4,3001446,136.12,0.34186,128.2322,0.655,1.0,0.518,0.708,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1966,1960
240,we can work it out  remastered 2009,Past Masters (Vols. 1 & 2 / Remastered),the beatles,37,7tBAxQ6hD4mhr1sYQhwWDP,0,0.373,0.597,2,-10.013,1,0.0273,0.102,0.0,0.114,0.742,106.237,135440,4,2986452,135.44,0.34517,128.238,0.579,1.0,0.617,0.791,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1966,1960
241,lightnin strikes,Lightnin’ Strikes: The Very Best Of The MGM Recordings,lou christie,43,2OQhFe5jjTnMWaaDRZxz31,0,0.619,0.654,3,-8.46,1,0.0652,0.611,0.0,0.144,0.688,134.293,181493,4,4001928,181.49333,1.00735,168.64073,0.74,1.0,0.38,0.541,"['brill building pop', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",1966,1960
242,these boots are made for walkin,Start Walkin' 1965-1976,nancy sinatra,60,2HEgBBls7l0smWTxPx0MtZ,0,0.628,0.42,9,-10.547,1,0.177,0.395,2.55e-06,0.104,0.337,165.304,166133,4,3663240,166.13333,0.0,155.2312,0.183,1.0,0.683,0.604,"['adult standards', 'brill building pop', 'folk rock']",1966,1960
243,these boots are made for walkin,Boots,nancy sinatra,31,2PneNdtypG6XcgmWmGd9FI,0,0.742,0.427,9,-10.523,1,0.11,0.395,1.42e-06,0.119,0.335,82.579,167787,4,3699696,167.78667,0.0,155.24281,0.187,1.0,0.523,0.55,"['adult standards', 'brill building pop', 'folk rock']",1966,1960
244,when a man loves a woman,When a Man Loves a Woman,percy sledge,67,51FpzuGkRYXFgsE2zXt9av,0,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.205,97.398,173867,3,3833760,173.86667,0.90141,164.94295,0.18,0.243,0.267,0.423,"['brill building pop', 'classic soul', 'soul', 'southern soul']",1966,1960
245,when a man loves a woman,When a Man Loves a Woman,percy sledge,47,0GVxSbigOiKlGfI30Uw00X,0,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903,175693,3,3874038,175.69333,0.35927,164.03156,0.13,0.673,0.576,0.597,"['brill building pop', 'classic soul', 'soul', 'southern soul']",1966,1960
246,when a man loves a woman  2000 remaster,The Atlantic Recordings,percy sledge,47,4aOYzIRv0jl8VShCWZr1hA,0,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903,175693,3,3874038,175.69333,0.35927,164.03156,0.13,0.673,0.576,0.597,"['brill building pop', 'classic soul', 'soul', 'southern soul']",1966,1960
247,when a man loves a woman  rerecorded,Soul Legends (Collector's Edition),percy sledge,33,1luy4TXWkO5p5FtEj4tovI,0,0.297,0.502,1,-9.136,1,0.0284,0.0466,0.000104,0.208,0.187,96.247,176307,3,3887562,176.30667,0.578,169.58113,0.103,0.867,0.488,0.566,"['brill building pop', 'classic soul', 'soul', 'southern soul']",1966,1960
248,paperback writer  remastered 2015,1 (Remastered),the beatles,60,0Ui8KPWZbJJQ2Y0CIQuVqX,0,0.472,0.856,7,-6.03,1,0.0562,0.147,2.78e-06,0.595,0.841,78.696,138200,4,3047310,138.2,0.0,122.35175,0.086,1.0,1.0,1.0,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1966,1960
249,paperback writer  remastered 2009,Past Masters (Vols. 1 & 2 / Remastered),the beatles,38,4401c08DdNwwGEg8WGCkQf,0,0.49,0.724,7,-8.109,1,0.0827,0.189,3.01e-06,0.691,0.727,157.251,138560,4,3055248,138.56,0.0,129.25388,0.029,0.942,0.843,0.886,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1966,1960
250,paperback writer  remastered 2009,The Beatles 1962 - 1966 (Remastered),the beatles,38,3OtsmzTZs50ahEnHKVvozC,0,0.502,0.685,7,-8.679,1,0.0736,0.179,6.45e-06,0.551,0.805,157.394,139187,4,3069066,139.18668,0.34671,129.23647,0.12,0.938,0.817,0.883,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1966,1960
251,wild thing,From Nowhere,the troggs,63,7jGzYUZ2Bgg8BDfYlQRfn8,0,0.453,0.658,9,-13.472,1,0.0539,0.741,0.0288,0.135,0.761,203.871,155333,4,3425100,155.33333,0.19773,148.79347,0.364,1.0,1.0,0.815,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'merseybeat', 'psychedelic rock', 'rock-and-roll']",1966,1960
252,summer in the city  remastered,Hums Of The Lovin' Spoonful,the lovin spoonful,64,7AzFID6u1b3zIWbd9pb8Dk,0,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461,160307,4,3534762,160.30667,0.30168,152.93823,0.661,0.863,0.546,0.529,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'soft rock']",1966,1960
253,summer in the city,The Greatest Hits,the lovin spoonful,33,7yso4IDOXI6yLI3n3VnQP4,0,0.427,0.675,10,-9.762,1,0.04,0.0435,6.63e-05,0.102,0.547,110.911,163000,4,3594150,163.0,3.3727,155.66077,0.564,0.873,0.488,0.507,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'soft rock']",1966,1960
254,sunshine superman,Sunshine Superman,donovan,59,4RGxUjaCmVtD30pIhtEi7w,0,0.629,0.677,1,-7.239,1,0.0299,0.122,9.72e-06,0.0962,0.627,132.783,195000,4,4299750,195.0,0.0,185.16753,0.895,0.988,0.88,0.77,"['art rock', 'british folk', 'british invasion', 'classic rock', 'country rock', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter']",1966,1960
255,sunshine superman,The Essential Donovan,donovan,16,3xvpKH1G6zvpPw5j19aaJq,0,0.623,0.596,1,-10.267,1,0.0311,0.159,2.09e-06,0.0918,0.735,133.983,194040,4,4278582,194.04,0.16825,183.54213,0.795,0.99,0.882,0.724,"['art rock', 'british folk', 'british invasion', 'classic rock', 'country rock', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter']",1966,1960
256,you cant hurry love,The Supremes A' Go-Go (Expanded Edition),the supremes,73,1OppEieGNdItZbE14gLBEv,0,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,167933,4,3702930,167.93333,0.23805,157.97116,0.125,1.0,0.285,0.348,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",1966,1960
257,you cant hurry love  alternate vocal,Supreme Rarities: Motown Lost & Found,diana ross & the supremes,38,3NLsv7HigpQ1dyMMLZ6H7n,0,0.699,0.74,7,-5.192,0,0.0302,0.188,0.0,0.114,0.711,96.606,200293,4,4416468,200.29333,0.0,200.29333,0.376,1.0,0.0,0.356,"['classic girl group', 'motown', 'soul']",1966,1960
258,you cant hurry love,Supremes A Go Go,the supremes,33,4H1iMlEWKZmpKTHCZzDhju,0,0.482,0.675,10,-11.76,1,0.071,0.59,0.0,0.0829,0.773,194.203,165427,4,3647658,165.42667,0.09302,156.9785,0.159,1.0,0.362,0.434,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",1966,1960
259,you cant hurry love  mono,The Supremes A' Go-Go (Expanded Edition),the supremes,28,2iJP97Bttwb6bbZO9wNEJ9,0,0.7,0.876,10,-6.189,1,0.105,0.479,0.0,0.119,0.617,97.682,166600,4,3673530,166.6,0.0,159.38177,0.283,1.0,0.287,0.346,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",1966,1960
260,you cant hurry love,The Supremes: Box Set,the supremes,19,2BNP0fIRCHM2uDznRe6S7u,0,0.621,0.818,10,-7.079,1,0.0831,0.588,0.0,0.0858,0.643,97.759,164800,4,3633840,164.8,0.42707,156.68825,0.062,1.0,0.501,0.261,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",1966,1960
261,cherish,And Then...Along Comes,the association,47,7uGeDI6nJEdUYMsMd7mQyl,0,0.51,0.544,5,-8.308,1,0.0282,0.776,0.0,0.144,0.598,110.197,207133,4,4567290,207.13333,0.33669,199.48264,0.726,0.986,0.523,0.593,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'soft rock', 'sunshine pop']",1966,1960
262,reach out ill be there,Reach Out,four tops,58,6Pkj4nv5K53i64cLVgkVyY,0,0.607,0.599,3,-8.908,0,0.0282,0.0253,0.0,0.188,0.735,119.842,178533,4,3936660,178.53333,0.22653,172.53587,0.868,1.0,0.249,0.318,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']",1966,1960
263,reach out ill be there  single version  mono,Essential Collection: Four Tops,four tops,53,0PpamSdfQzIAvj5OB9Bz54,0,0.62,0.763,3,-4.908,0,0.0311,0.0615,0.0,0.289,0.718,119.534,182467,4,4023390,182.46667,0.0,175.89116,0.74,0.982,0.114,0.189,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']",1966,1960
264,reach out ill be there  single version  mono,The Ultimate Collection: Four Tops,four tops,44,2VwRmAIjgmwNPDh4eMK1EH,0,0.619,0.803,3,-3.521,0,0.0317,0.0703,0.0,0.27,0.73,119.538,179667,4,3961650,179.66667,0.27306,175.69379,0.83,0.982,0.176,0.24,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']",1966,1960
265,reach out ill be there,The Definitive Collection,four tops,27,2ELbFFbETUl4NYM7mWTmwj,0,0.608,0.759,3,-4.353,0,0.0278,0.0323,0.0,0.196,0.739,119.662,178960,4,3946068,178.96,0.0,172.87256,0.791,1.0,0.433,0.413,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']",1966,1960
266,reach out ill be there,20th Century Masters: The Millennium Collection: Best Of The Four Tops,four tops,20,5iU3HxW3z0jNhAUzK1tQsF,0,0.617,0.622,3,-8.303,0,0.0284,0.0249,0.0,0.163,0.697,119.668,182600,4,4026330,182.6,0.41751,172.94803,0.843,1.0,0.336,0.388,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']",1966,1960
267,last train to clarksville  original stereo version; 2006 remaster,The Monkees (Deluxe Edition),the monkees,52,3h4t9qpFktohHeUQc3hZCa,0,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499,164093,4,3618252,164.09306,0.92154,152.84535,0.038,0.941,0.86,0.647,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
268,last train to clarksville,The Best of The Monkees,the monkees,39,3dgyDSKfzaNBtlZuUxc8IW,0,0.477,0.675,0,-6.771,1,0.0276,0.471,0.0,0.741,0.715,98.156,166173,4,3664122,166.17332,0.0873,152.6654,0.279,0.925,0.876,0.739,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
269,last train to clarksville  stereo mix,The Monkees 50,the monkees,20,1LjOxwkLSj7VwtqBc5erpR,0,0.48,0.651,0,-9.115,1,0.0292,0.556,1.85e-06,0.79,0.78,97.639,167627,4,3696168,167.62666,0.36032,153.80318,0.37,0.895,0.825,0.751,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
270,last train to clarksville,Forever,the monkees,14,6aiCJldTjjksy3Cs9W4rg6,0,0.477,0.675,0,-6.771,1,0.0276,0.471,0.0,0.741,0.715,98.156,166173,4,3664122,166.17332,0.0873,152.6654,0.279,0.925,0.876,0.739,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
271,last train to clarksville,Music Box (The Monkees),the monkees,10,2YnXoUJX2EQGOa2L8dSKYV,0,0.477,0.675,0,-6.771,1,0.0276,0.471,0.0,0.741,0.715,98.156,166173,4,3664122,166.17332,0.0873,152.6654,0.279,0.925,0.876,0.739,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
272,"last train to clarksville  live at municipal auditorium, mobile, al, 8121967",Summer 1967: The Complete U.S. Concert Recordings,the monkees,7,1yi5mNWRvdTOItcrnc2vtR,0,0.51,0.785,0,-9.853,1,0.065,0.073,0.0,0.217,0.67,107.202,174107,4,3839052,174.10667,0.0,174.10667,0.795,0.972,0.677,0.611,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
273,last train to clarksville  live,"Live, 1967",the monkees,5,7ItEe2C7vthvwbJUoQu5Fe,0,0.142,0.865,0,-9.888,1,0.0902,0.445,0.0696,0.611,0.427,207.386,221240,4,4878342,221.24,5.1258,221.24,0.02,0.97,0.465,0.538,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
274,last train to clarksville,Rhino Hi-Five: The Monkees,the monkees,3,0PjshjkY3tgVaE1mo3fbe8,0,0.477,0.675,0,-6.771,1,0.0276,0.471,0.0,0.741,0.715,98.156,166173,4,3664122,166.17332,0.0873,152.6654,0.279,0.925,0.876,0.739,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",1966,1960
275,you keep me hangin on,"The Supremes Sing Holland, Dozier, Holland",the supremes,57,4a01ClusxuZiloOK5UgLUn,0,0.682,0.612,8,-7.004,0,0.0381,0.284,0.0,0.0783,0.845,127.647,163280,4,3600324,163.28,0.40998,153.7277,0.907,1.0,0.373,0.478,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",1966,1960
276,good vibrations  remastered 2001,Smiley Smile (Remastered),the beach boys,70,5t9KYe0Fhd5cW6UYT4qP8f,0,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,219027,4,4829538,219.02667,0.38095,211.12163,0.071,0.85,0.0,0.024,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
277,good vibrations  remastered 2001,Good Vibrations 40th Anniversary,the beach boys,64,2oF7FZHIJbzjeEXZ3D0Ku4,0,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912,217747,4,4801314,217.74667,0.1044,210.72688,0.066,0.817,0.0,0.114,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
278,good vibrations,50 Big Ones: Greatest Hits,the beach boys,48,7tf64lNC31lWlTsih0nfZf,0,0.371,0.424,10,-9.497,1,0.0411,0.332,4.95e-06,0.131,0.325,151.621,215827,4,4758978,215.82668,0.34095,210.37279,0.096,0.642,0.604,0.539,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
279,good vibrations,The Smile Sessions,the beach boys,55,6aU6a9tdn2vHhnPGlboFZX,0,0.414,0.528,1,-7.733,1,0.0343,0.0495,0.00026,0.117,0.335,74.627,255400,4,5631570,255.4,0.0,240.70386,0.068,0.581,0.304,0.464,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
280,good vibrations stereo,Smiley Smile (Mono & Stereo),the beach boys,41,6ekY52h4HwNCHgCkiHTVaR,0,0.415,0.356,10,-11.363,0,0.0366,0.132,0.0,0.0809,0.311,128.428,217787,4,4802196,217.78667,0.27728,210.74431,0.237,0.844,0.375,0.374,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
281,good vibrations,Greatest Hits,the beach boys,31,0eWuqjxrz4V6UzMVOMNMjh,0,0.328,0.428,10,-9.526,1,0.0559,0.31,2.69e-06,0.0962,0.337,76.068,217360,4,4792788,217.36,0.30522,210.33797,0.0,0.643,0.49,0.433,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
282,good vibrations  remastered 2001,The Very Best Of The Beach Boys: Sounds Of Summer,the beach boys,32,4fwQPMYKmRVwRi7JAvMGoJ,0,0.393,0.519,10,-6.541,0,0.0347,0.343,9.28e-05,0.148,0.353,134.419,217040,4,4785732,217.04,0.40957,211.14485,0.073,0.865,0.189,0.31,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
283,good vibrations,The Beach Boys With The Royal Philharmonic Orchestra,the beach boys,32,1iosYfAlCjiqmbLWMYTdW2,0,0.323,0.486,3,-7.785,1,0.0379,0.268,2.44e-05,0.363,0.369,143.206,259960,4,5732118,259.96,4.22603,253.60254,0.021,1.0,0.461,0.352,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",1966,1960
