,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
3568,everyday people,R&B: From Doo-Wop To Hip-Hop,various artists,61,7lL2lMWNtzOcf5HnEudNgn,0,0.813,0.619,7,-8.203,1,0.0294,0.245,0.0151,0.113,0.774,114.58,139507,4,3076122,139.50667,0.14181,137.21832,0.776,1.0,0.001,0.144,"['classic rock', 'classic soul', 'folk rock', 'funk', 'funk rock', 'motown', 'psychedelic soul', 'rock', 'soul']",1969,1960
3569,everyday people,The Essential Sly & The Family Stone,sly & the family stone,32,1orD9IAKp9MotxkDEhl6Mr,0,0.814,0.514,7,-11.571,1,0.0295,0.255,0.0471,0.0605,0.787,114.06,141267,4,3114930,141.26666,0.07918,137.79881,0.616,1.0,1.0,0.677,"['classic rock', 'classic soul', 'folk rock', 'funk', 'funk rock', 'motown', 'psychedelic soul', 'rock', 'soul']",1969,1960
3570,everyday people,Greatest Hits,sly & the family stone,26,7vwpuSzl2ME9NkpZUzw8Wj,0,0.812,0.532,2,-10.33,1,0.0296,0.21,0.024,0.0739,0.722,114.565,140213,4,3091704,140.21333,0.19147,137.26476,0.732,1.0,0.193,0.396,"['classic rock', 'classic soul', 'folk rock', 'funk', 'funk rock', 'motown', 'psychedelic soul', 'rock', 'soul']",1969,1960
3571,"everyday people  live at the woodstock music & art fair, august 17, 1969",Sly & The Family Stone: The Woodstock Experience,sly & the family stone,25,4IQcNZVrKNumO9BYsw4QY2,0,0.534,0.86,7,-11.019,1,0.0346,0.0194,0.00771,0.414,0.769,130.475,195587,4,4312686,195.58667,0.0,195.58667,0.655,0.979,0.514,1.0,"['classic rock', 'classic soul', 'folk rock', 'funk', 'funk rock', 'motown', 'psychedelic soul', 'rock', 'soul']",1969,1960
3572,love theme from romeo and juliet,"All Time Greatest Hits, Vol. 1",henry mancini,18,67fxH6TVvnxp9HNK8TuJCd,0,0.4,0.118,9,-16.286,0,0.0317,0.98,0.819,0.126,0.173,75.741,152373,4,3359832,152.37334,0.23193,137.82204,0.232,0.299,0.222,0.736,"['adult standards', 'classic soundtrack', 'easy listening', 'lounge', 'vocal jazz']",1969,1960
3573,na na hey hey kiss him goodbye,All-Star Sports Jams,various artists,41,1mrSHPNTDdMkXpR4BiSiD7,0,0.637,0.916,7,-6.95,1,0.0458,0.0139,2.24e-05,0.21,0.506,114.987,247173,4,5450172,247.17332,0.24921,237.19183,0.819,0.946,0.881,0.649,[],1969,1960
3574,na na hey hey kiss him goodbye,60's Gold,various artists,47,5xMLcSEstX1jN4arpNXqtX,0,0.673,0.843,7,-9.561,1,0.0379,0.0171,1.01e-05,0.305,0.398,115.658,249507,4,5501622,249.50667,0.43596,235.92635,0.869,1.0,0.728,0.552,[],1969,1960
3575,na na hey hey kiss him goodbye,20 #1's: One Hit Wonders,various artists,9,4H6ITyAolpp1wP8oXGZHXs,0,0.642,0.931,7,-5.978,1,0.0543,0.0161,1.52e-05,0.219,0.424,115.042,249800,4,5508090,249.8,0.25524,237.19183,0.79,0.944,0.723,0.583,[],1969,1960
3576,na na hey hey kiss him goodbye,20 #1's: Classic Rock,various artists,19,2cyb9YEJF9x9p0snXC5PtF,0,0.664,0.868,10,-6.12,0,0.0435,0.004,0.000191,0.257,0.383,115.492,246427,4,5433708,246.42667,0.26594,236.04825,0.869,1.0,0.133,0.238,[],1969,1960
3577,leaving on a jet plane,Album 1700,"peter, paul and mary",60,6ZSTinOwx5dKFYc6iYyGDn,0,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45,207240,4,4569642,207.24,0.2658,198.20554,0.12,1.0,0.299,0.494,"['american folk revival', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",1969,1960
