,artist_name,album_name,song_name,popularity,track_id,track_explicit,danceability,energy,key_x,loudness_x,mode_x,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,type,id_x,uri,track_href,analysis_url,duration_ms,time_signature_x,num_samples,duration,analysis_sample_rate,end_of_fade_in,start_of_fade_out,loudness_y,tempo_y,tempo_confidence,time_signature_y,time_signature_confidence,key_y,key_confidence,mode_y,mode_confidence,id_y
889,Bee Gees,Greatest,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",66,3mRM4NM8iO7UBqrSigCQFH,False,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,audio_features,3mRM4NM8iO7UBqrSigCQFH,spotify:track:3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/audio-analysis/3mRM4NM8iO7UBqrSigCQFH,285373,4,6292482,285.37332,22050,0.23175,275.09262,-7.179,103.564,0.965,4,1.0,10,0.54,0,0.605,3mRM4NM8iO7UBqrSigCQFH
890,Bee Gees,Greatest,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",66,3mRM4NM8iO7UBqrSigCQFH,False,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,audio_features,3mRM4NM8iO7UBqrSigCQFH,spotify:track:3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/audio-analysis/3mRM4NM8iO7UBqrSigCQFH,285373,4,6292482,285.37332,22050,0.23175,275.09262,-7.179,103.564,0.965,4,1.0,10,0.54,0,0.605,3mRM4NM8iO7UBqrSigCQFH
891,Bee Gees,Greatest,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",66,3mRM4NM8iO7UBqrSigCQFH,False,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,audio_features,3mRM4NM8iO7UBqrSigCQFH,spotify:track:3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/audio-analysis/3mRM4NM8iO7UBqrSigCQFH,285373,4,6292482,285.37332,22050,0.23175,275.09262,-7.179,103.564,0.965,4,1.0,10,0.54,0,0.605,3mRM4NM8iO7UBqrSigCQFH
892,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
893,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
894,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
895,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
896,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
897,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
898,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
