,artist_name,album_name,song_name,popularity,track_id,track_explicit
100,Soldier Boy,Will You Still Love Me Tomorrow,The Shirelles,14,6ALjtLi9T1e5eNIvOkdJTm,False
101,I Can't Stop Loving You,"Modern Sounds in Country and Western Music, Vols 1 & 2",Ray Charles,61,79nJj5dMyTsUzKvN5jUXsJ,False
102,The Stripper,The Stripper,David Rose Orchestra,23,57kFkrxZb3LzwDtcFQ05fl,False
103,Roses Are Red (My Love),16 Most Requested Songs,Bobby Vinton,40,5zw4SajQ2IKvjnSWXOSDrh,False
104,Roses Are Red (My Love) - Single Version,The Best Of Bobby Vinton,Bobby Vinton,43,0qYok0f8O5DE8yJSo146dn,False
105,Breaking Up Is Hard to Do,Neil Sedaka Sings The Hits,Neil Sedaka,46,64UJ810pLNwurMLRCPJPoa,False
106,Breaking Up Is Hard to Do,All Time Greatest Hits,Neil Sedaka,34,7pr4PuJDoPWSBXf5pzLbpZ,False
107,Breaking Up Is Hard to Do - Remastered,The Very Best Of Neil Sedaka,Neil Sedaka,18,39DSvayPtd1mLyc1Sdxgxw,False
108,Sheila,Sheila,Tommy Roe,41,5Mzu8smN6fRBCaUaTytD1W,False
109,Sherry,Sherry and 11 Other Hits,Frankie Valli & The Four Seasons,59,7sqK6f8dHVx3Q1GjFrVyGl,False
110,Sherry,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,52,0NpvdCO506uO58D4AbKzki,False
111,Medley: Sherry / Walk Like a Man / Big Girl's Don't Cry / Bye Bye Baby (Baby Good Bye) - Live,Reunited Live,Frankie Valli & The Four Seasons,32,3gHci6N1SEb58tTDei9RpH,False
112,Sherry - 2007 Remaster,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Frankie Valli & The Four Seasons,27,1Z3ZQEPR1uGmRQ6CZbkNFV,False
113,He's a Rebel,Da Doo Ron Ron: The Very Best of The Crystals,The Crystals,40,0mG8Hety4RELeo6p808fcy,False
114,He's a Rebel,The Crystals,The Crystals,37,53Og0iCStGk5qD8AUKHHsR,False
115,He's a Rebel,He's A Rebel,The Crystals,27,48DTPMBgYRYYITd4m95sDc,False
116,Big Girls Don't Cry,Sherry and 11 Other Hits,Frankie Valli & The Four Seasons,59,00meczE1jpLTX0BBzIGrAR,False
117,Big Girls Don't Cry,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,46,3VPJVon5HEa2VGZC62RJfW,False
118,Big Girls Don't Cry,Big Girls Don't Cry and 12 Other Hits,Frankie Valli & The Four Seasons,31,1QqheijBthTRPE3mT3IZxt,False
119,Big Girls Don't Cry - 2007 Remaster,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Frankie Valli & The Four Seasons,27,6tvglpgcriu4gWmpXSFBao,False
120,Telstar,Telstar,The Tornados,42,2rtaHm5SkgFzVa5Gr8oTW6,False
121,Telstar - Remastered,Telstar and More (Remastered),The Tornados,33,5KIzAUDxPywD92KxP2b6dx,False
122,Telstar - Remastered,Telstar (Remastered),The Tornados,15,3rs0Px3g5ObSBJjX688YoY,False
123,Telstar,The Tornados Play Telstar And Other Great Hits,The Tornados,13,2eR4d2DY3del54e5WE93Q5,False
124,Go Away Little Girl,Going Solo with Steve Lawrence,Steve Lawrence,40,5ewcbH8HRUcbDD0UsXa9by,False
125,Go Away Little Girl,The Greatest Hits Vol. 1,Steve Lawrence,19,4aSc9ICb487a9JjGXSMDMk,False
126,Walk Right In,Vanguard Visionaries,The Rooftop Singers,46,4WhT2YADjcU58IUgroWZQZ,False
127,Walk Right In,The Best Of,The Rooftop Singers,14,74e8PnYlPhP7nl6aXsGzRW,False
128,Walk Like a Man,Big Girls Don't Cry and 12 Other Hits,Frankie Valli & The Four Seasons,57,4C76SOnBa9eQDwOwe11hPz,False
129,Walk Like a Man,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,45,1p9rtS9FiIFUP1BrkKheST,False
130,Medley: Sherry / Walk Like a Man / Big Girl's Don't Cry / Bye Bye Baby (Baby Good Bye) - Live,Reunited Live,Frankie Valli & The Four Seasons,32,3gHci6N1SEb58tTDei9RpH,False
131,Walk Like a Man - 2007 Remaster,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Frankie Valli & The Four Seasons,28,3ebFVCEIcB3zW9RbnHk28D,False
132,Walk Like a Man - 2006 Remaster,The Definitive Pop Collection,Frankie Valli & The Four Seasons,15,7mCNhND2XuUmru1ErHLZbr,False
133,He's So Fine - Remastered 2000,The Chiffons Absolutely The Best!,The Chiffons,54,2Bs1Lw9LX8hBm70t1iGdlh,False
134,He's So Fine,The Best Of The Chiffons,The Chiffons,20,6fg0ljyxEMrCLajca3BAMr,False
135,If You Wanna Be Happy,"Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""",Jimmy Soul,49,7D97JnBT73FWUh9KmRvP9M,False
136,It's My Party,I'll Cry If I Want To,Lesley Gore,72,1Pq47iFLC5U7j8xeNiNcuS,False
137,It's My Party,20th Century Masters: The Millennium Collection: Best Of Lesley Gore,Lesley Gore,56,0sElHCOGB2n8Nlo6GOtWnq,False
138,It's My Party - WHIPPED CREAM Remix,It's My Party (WHIPPED CREAM Remix),Lesley Gore,21,7puAdd6PbIb3gbCmo7bmAV,False
139,"It's My Party - Live On The Ed Sullivan Show, October 13, 1963","It's My Party (Live On The Ed Sullivan Show, October 13, 1963)",Lesley Gore,44,5JBMBlS9YB7Q84dWuqLzhj,False
140,Easier Said Than Done,Easier Said Than Done,The Essex,29,2C5p7j2gw7Jr2VAZDiNP4u,False
141,Easier Said Than Done,Easier Said Than Done: The Best Of The Essex,The Essex,11,58HDeh74X0mjHz06wvx6kv,False
142,My Boyfriend's Back,My Boyfriend's Back,The Angels,46,5NiFSI8iIDtVm1NCwdYrHS,False
143,Blue Velvet,16 Most Requested Songs,Bobby Vinton,49,3WO8ZBnOtad3xMz46Z54pY,False
144,Blue Velvet,Bobby Vinton's Greatest Hits,Bobby Vinton,27,1NwPdyjfYh2Fn8rp39H9kS,False
145,Dominique,Sounds of Joyful Music,The Singing Nuns,28,2YMaQIN48lOHPJ8LxjsvLq,False
146,There! I've Said It Again,There I've Said It Again,Bobby Vinton,27,3mwiyHBHfAzOe89MwqJeEb,False
147,There! I've Said It Again,Bobby Vinton's Greatest Hits,Bobby Vinton,17,2R16L1f4pqHubNZnaGmeTC,False
148,She Loves You - Mono / Remastered,1 (Remastered),The Beatles,65,6nEkxYIEnrbYH7h1hJ8Xn6,False
149,She Loves You - Remastered 2009,Past Masters (Vols. 1 & 2 / Remastered),The Beatles,47,48JM82SHQTBYkhEYhMaOaa,False
150,She Loves You - Mono Version / Remastered 2009,The Beatles 1962 - 1966 (Remastered),The Beatles,45,0qsS2A3hwicJCLtcaR6JRQ,False
151,She Loves You - Live / Remastered,Live At The Hollywood Bowl,The Beatles,32,0GUp9QOezipeh6BOV1kguV,False
152,"She Loves You - Anthology 1 Version / Live At The Prince Of Wales Theatre, London/1963",Anthology 1,The Beatles,27,1S8yrFPr3n7K0szQCVu1Ta,False
153,"Hello, Dolly!","Hello, Dolly! (Remastered)",Louis Armstrong,52,63kd4m3VFxcJjPVVtbVNAu,False
154,My Guy,Mary Wells Sings My Guy,Mary Wells,63,4591VqUIXysNlmI5NcAIUd,False
155,My Guy - Single Version,The Definitive Collection,Mary Wells,50,7arXVtGNJPa7aOHiKOeUsl,False
156,Chapel of Love (Stereo),The Dixie Cups Meet The Shangri-Las,The Dixie Cups,12,6nyglQj2KZkNhnHvxTFIQL,False
157,I Get Around (Mono),All Summer Long (Mono & Stereo),The Beach Boys,66,3v9xlH6BpmRbqL7hgNJhfT,False
158,I Get Around,50 Big Ones: Greatest Hits,The Beach Boys,53,3mXexrmtPJ1KdWN37rYePx,False
159,I Get Around - Remastered,10 Great Songs,The Beach Boys,44,7Fng0zvM0XLoMHyINeu8Kj,False
160,I Get Around - Remastered,The Very Best Of The Beach Boys: Sounds Of Summer,The Beach Boys,38,59uVL70mVMC70500N90m0c,False
161,I Get Around (Stereo) - Remastered,All Summer Long (Mono & Stereo),The Beach Boys,38,1Jp0vQZhLa7YCOBdb5frOM,False
162,I Get Around,Greatest Hits,The Beach Boys,32,08RulLB7ganHw0PpbWOCfI,False
163,Rag Doll,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,42,6kAROIu6CLVjulTqSPYmAP,False
164,Rag Doll,Rhino Hi-Five: Frankie Valli & The Four Seasons,Frankie Valli & The Four Seasons,28,3OaxT3AzICWgHnRvmSPTnn,False
165,Rag Doll,Rag Doll,Frankie Valli & The Four Seasons,31,3NN4WPApckHyTZ6pPoRRWc,False
166,Rag Doll - 2007 Remaster,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Frankie Valli & The Four Seasons,21,52zMnmnQoNjUBrWhmQYWfh,False
167,A Hard Day's Night - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,66,5J2CHimS7dWYMImCHkEFaJ,False
168,A Hard Day's Night - Remastered 2015,1 (Remastered),The Beatles,56,1pctwlBtIcKIjQMzsVcGHB,False
169,A Hard Day's Night - Remastered 2009,The Beatles 1962 - 1966 (Remastered),The Beatles,37,1E4FcSqQs7U2RTebCNaYRH,False
170,A Hard Day's Night - Live / Remastered,Live At The Hollywood Bowl,The Beatles,34,0P0Jm9mZi11ETImhECDhpq,False
171,A Hard Day's Night - Anthology 1 Version,Anthology 1,The Beatles,27,5ZliU9ZcQE2ShG8Rqxrsk1,False
172,Everybody Loves Somebody,Everybody Loves Somebody,Dean Martin,66,5I9sHwLDX28tLtzVgKLtpr,False
173,Everybody Loves Somebody,The Reprise Years,Dean Martin,55,78VG6M1i7JQXBdygmWFwye,False
174,Everybody Loves Somebody,The Essential Dean Martin,Dean Martin,45,0Wd52AHQrrwwDbqVQF2dt6,False
175,Everybody Loves Somebody - Dream with Dean Version,Dream with Dean,Dean Martin,34,3uQOSlljszsIHg3XiItsrM,False
176,Everybody Loves Somebody - Dream with Dean Version,The Reprise Years,Dean Martin,15,6KPWgGUBQKSis7j2DNewIo,False
177,Where Did Our Love Go,Where Did Our Love Go,The Supremes,63,69RH84na5iUNwrwxpgjC5j,False
178,Where Did Our Love Go - Single Version / Mono,Where Did Our Love Go: 40th Anniversary Edition,The Supremes,23,2B9djq0np2q22p7x6a2dJl,False
179,Where Did Our Love Go,Gold,The Supremes,19,4Ww2XXvjQupbGVcfMI5Aat,False
180,Where Did Our Love Go,The Ultimate Collection: Diana Ross & The Supremes,Diana Ross & The Supremes,19,1grvWrCHiayRgQI8yblbsZ,False
181,"Oh, Pretty Woman",The Essential Roy Orbison,Roy Orbison,60,52HAHV1j93s5B8GoTNI7DJ,False
182,"Oh, Pretty Woman",The Ultimate Collection,Roy Orbison,34,4yWtCssxHplWPiHro63fmy,False
183,"Oh, Pretty Woman - with The Royal Philharmonic Orchestra",A Love So Beautiful: Roy Orbison & The Royal Philharmonic Orchestra,Roy Orbison,31,01jOnfF6OMQx2ZgC3nKi3o,False
184,"Oh, Pretty Woman",Black & White Night,Roy Orbison,26,4XwHemosziPE4xsx44mm6J,False
185,Do Wah Diddy Diddy,Groovin' with Manfred Mann,Manfred Mann,55,7gEpTMp9MQc1uJwivtL37R,False
186,Do Wah Diddy Diddy,Mann Made Hits,Manfred Mann,45,7ko2240lyr2DngGin6Fx37,False
187,Baby Love,Where Did Our Love Go,The Supremes,67,5uES1C2NgkdrNHiCwf9jRr,False
188,Ringo,Welcome to the Ponderosa,Lorne Greene,42,5GHbWzjRy1XfnTf5rkA8bf,False
189,Mr. Lonely,16 Most Requested Songs,Bobby Vinton,45,6x8xIapc9xcZlJ9HpCkrm9,False
190,Mr. Lonely,Mr. Lonely,Bobby Vinton,32,1PgYN6hOBCpnftBXE1dCux,False
191,Come See About Me,Where Did Our Love Go,The Supremes,59,307kcWJQNMdiYYKj1LgClU,False
192,Come See About Me,The Ultimate Collection: Diana Ross & The Supremes,Diana Ross & The Supremes,19,2nsewMD27CHIf9mRhBAoHD,False
193,I Feel Fine - Remastered 2015,1 (Remastered),The Beatles,62,5hhF25sWnZvXhimOHLjTRE,False
194,I Feel Fine - Remastered 2009,The Beatles 1962 - 1966 (Remastered),The Beatles,44,4gxs9En3aoaOm2J5wNMMm9,False
195,I Feel Fine - Remastered 2009,Past Masters (Vols. 1 & 2 / Remastered),The Beatles,36,1Q7gCIpOjIIU0bUKcGzrG4,False
196,"I Feel Fine - Live From The ABC Theatre, Blackpool, UK/1965 / Anthology 2 Version",Anthology 2,The Beatles,28,0xgduXfu5QpXzhLcS1B3b6,False
197,Downtown,The Ultimate Petula Clark,Petula Clark,57,0ZQ6ckgerHYM5mOUxTl99Q,False
198,My Girl,The Temptations Sing Smokey,The Temptations,77,745H5CctFr12Mo7cqa1BMH,False
199,"Mrs. Brown, You've Got a Lovely Daughter (Rerecorded)","Mrs. Brown, You've Got a Lovely Daughter (Rerecorded)",Herman's Hermits,23,6lAVUqzM62fRh8q6mkQGzH,False
200,"Mrs. Brown, You've Got a Lovely Daughter - Live",Our Danish Collection,Herman's Hermits,5,38K0PZjxqohFR7jEsuNgwn,False
201,"Help Me, Rhonda - Single Version/Remastered 2001",Summer Days (And Summer Nights) [Remastered],The Beach Boys,54,3haZcHm3HydDVxm3je3Zmg,False
202,"Help Me, Rhonda",50 Big Ones: Greatest Hits,The Beach Boys,40,4qvdAp6MMl59RjaTOti9QD,False
203,"Help Me, Rhonda",Greatest Hits,The Beach Boys,29,1JorgVEvGT4McTPnJSQGtP,False
204,"Help Me, Rhonda - Single Version/Remastered 2001",The Very Best Of The Beach Boys: Sounds Of Summer,The Beach Boys,31,4tBFdPrUURShNtgjnjz1uV,False
205,"Help Me, Rhonda - Remastered",The Beach Boys Today! (Remastered),The Beach Boys,29,1pGNIN1wr7rcsDONmHLNRd,False
206,"Help Me, Rhonda",Endless Summer,The Beach Boys,22,4JeoMVblXb8V4SHzAMxzlt,False
207,"Help Me, Rhonda (Stereo)",Today! (Mono & Stereo),The Beach Boys,22,2O6rBmrnIjUr8CttVTZf3T,False
208,"Help Me, Rhonda (Mono)",Today! (Mono & Stereo),The Beach Boys,19,6U8Ua0spxZM6oqTmSPitst,False
209,"Help Me, Rhonda - Single Version/Remastered 2001",10 Great Songs,The Beach Boys,21,1WkbKnWoV29G1oNMOm6yzk,False
210,"Help Me, Rhonda (Mono)",Summer Days (And Summer Nights) [Mono & Stereo],The Beach Boys,18,4uZIiPaccjwx9pL5ZX6Py8,False
211,"Help Me, Rhonda - Live In Chicago, IL, 1968",The Beach Boys On Tour: 1968 (Live),The Beach Boys,21,3WUFsbCN3jYwcO28wpCiWe,False
212,"Help Me, Rhonda (Stereo)",Summer Days (And Summer Nights) [Mono & Stereo],The Beach Boys,17,6dUSdDtR424J0cFe4zzSb2,False
213,"Help Me, Rhonda - Live/2012",Live - The 50th Anniversary Tour,The Beach Boys,13,2X92HNjkiPqyMgI1AwA2Sj,False
214,Mr. Tambourine Man,Mr. Tambourine Man,The Byrds,64,2HCaIYjkvWSZzaSKUoOh3d,False
215,Mr. Tambourine Man,Preflyte,The Byrds,39,3yVKhOMynkNEGYlQo6JMbY,False
