,artist_name,album_name,song_name,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
44,Pony Time,Snapshot: Chubby Checker,Chubby Checker,17,6iyQO1taeQnGA7XeKTev8Z,False,0.456,0.635,8,-4.594,1,0.0284,0.00928,4.44e-06,0.128,0.897,77.353,audio_features,6iyQO1taeQnGA7XeKTev8Z,spotify:track:6iyQO1taeQnGA7XeKTev8Z,https://api.spotify.com/v1/tracks/6iyQO1taeQnGA7XeKTev8Z,https://api.spotify.com/v1/audio-analysis/6iyQO1taeQnGA7XeKTev8Z,144589,4
45,Pony Time,The Best Of Chubby Checker 1959-1963,Chubby Checker,13,2pzAs2WyM8MuM36VYKlRYb,False,0.447,0.731,3,-5.785,1,0.0456,0.424,0.0,0.227,0.953,154.817,audio_features,2pzAs2WyM8MuM36VYKlRYb,spotify:track:2pzAs2WyM8MuM36VYKlRYb,https://api.spotify.com/v1/tracks/2pzAs2WyM8MuM36VYKlRYb,https://api.spotify.com/v1/audio-analysis/2pzAs2WyM8MuM36VYKlRYb,148267,4
46,Pony Time,Dancin' Party: The Chubby Checker Collection (1960-1966),Chubby Checker,11,2wP3X9t5Wsi69uNp90KfPK,False,0.469,0.704,3,-5.436,1,0.0545,0.523,0.0,0.175,0.954,154.455,audio_features,2wP3X9t5Wsi69uNp90KfPK,spotify:track:2wP3X9t5Wsi69uNp90KfPK,https://api.spotify.com/v1/tracks/2wP3X9t5Wsi69uNp90KfPK,https://api.spotify.com/v1/audio-analysis/2wP3X9t5Wsi69uNp90KfPK,149067,4
47,Pony Time,60's Party Time Vol. 1,Chubby Checker,6,1qGFxDiCkzlOpYPc1Hb8ON,False,0.469,0.704,3,-5.436,1,0.0545,0.523,0.0,0.175,0.954,154.455,audio_features,1qGFxDiCkzlOpYPc1Hb8ON,spotify:track:1qGFxDiCkzlOpYPc1Hb8ON,https://api.spotify.com/v1/tracks/1qGFxDiCkzlOpYPc1Hb8ON,https://api.spotify.com/v1/audio-analysis/1qGFxDiCkzlOpYPc1Hb8ON,149067,4
48,Blue Moon - 45 Version,Blue Moon / Goodbye To Love [Digital 45],The Marcels,46,0pnfT3OLqlnIvO0uMYgCfM,False,0.617,0.444,7,-10.133,1,0.0371,0.698,0.0,0.0999,0.913,127.699,audio_features,0pnfT3OLqlnIvO0uMYgCfM,spotify:track:0pnfT3OLqlnIvO0uMYgCfM,https://api.spotify.com/v1/tracks/0pnfT3OLqlnIvO0uMYgCfM,https://api.spotify.com/v1/audio-analysis/0pnfT3OLqlnIvO0uMYgCfM,133453,4
49,Blue Moon,The Best Of The Marcels,The Marcels,42,75ewj77lCHHLKOlyx5KvGw,False,0.621,0.43,7,-11.163,1,0.0343,0.69,0.0,0.075,0.938,127.74,audio_features,75ewj77lCHHLKOlyx5KvGw,spotify:track:75ewj77lCHHLKOlyx5KvGw,https://api.spotify.com/v1/tracks/75ewj77lCHHLKOlyx5KvGw,https://api.spotify.com/v1/audio-analysis/75ewj77lCHHLKOlyx5KvGw,135200,4
50,Runaway,Runaway with Del Shannon,Del Shannon,60,45Szkclj1lt4ubm7RFK68t,False,0.594,0.533,10,-7.993,0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,audio_features,45Szkclj1lt4ubm7RFK68t,spotify:track:45Szkclj1lt4ubm7RFK68t,https://api.spotify.com/v1/tracks/45Szkclj1lt4ubm7RFK68t,https://api.spotify.com/v1/audio-analysis/45Szkclj1lt4ubm7RFK68t,137307,4
51,Travelin' Man - Remastered,Rick Is 21,Ricky Nelson,57,1sM0yZDxUhPQhkDh2CLd6l,False,0.723,0.44,2,-10.536,1,0.0319,0.667,0.0,0.128,0.843,123.217,audio_features,1sM0yZDxUhPQhkDh2CLd6l,spotify:track:1sM0yZDxUhPQhkDh2CLd6l,https://api.spotify.com/v1/tracks/1sM0yZDxUhPQhkDh2CLd6l,https://api.spotify.com/v1/audio-analysis/1sM0yZDxUhPQhkDh2CLd6l,143200,4
52,Travelin' Man - Remastered,The Best Of Rick Nelson (Vol. 2),Ricky Nelson,42,2jc4wyf3ys0zKCpxHRjEYx,False,0.741,0.363,2,-12.484,1,0.0335,0.669,0.0,0.117,0.859,123.263,audio_features,2jc4wyf3ys0zKCpxHRjEYx,spotify:track:2jc4wyf3ys0zKCpxHRjEYx,https://api.spotify.com/v1/tracks/2jc4wyf3ys0zKCpxHRjEYx,https://api.spotify.com/v1/audio-analysis/2jc4wyf3ys0zKCpxHRjEYx,142933,4
53,Travelin' Man - Remastered,Greatest Hits,Ricky Nelson,26,3o899gr9F0XVCvCbLMXrZ3,False,0.729,0.437,2,-11.324,1,0.031,0.571,0.0,0.131,0.838,123.274,audio_features,3o899gr9F0XVCvCbLMXrZ3,spotify:track:3o899gr9F0XVCvCbLMXrZ3,https://api.spotify.com/v1/tracks/3o899gr9F0XVCvCbLMXrZ3,https://api.spotify.com/v1/audio-analysis/3o899gr9F0XVCvCbLMXrZ3,140067,4
54,Running Scared,Crying,Roy Orbison,43,6sbj89WozjblBMa5u41orw,False,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,audio_features,6sbj89WozjblBMa5u41orw,spotify:track:6sbj89WozjblBMa5u41orw,https://api.spotify.com/v1/tracks/6sbj89WozjblBMa5u41orw,https://api.spotify.com/v1/audio-analysis/6sbj89WozjblBMa5u41orw,132040,3
